Time,sFH_FMU.E_to_grid,sFH_FMU.Q_DHW,sFH_FMU.Q_err_DHW,sFH_FMU.tot_vio_Kh,sFH_FMU.rev_elec,sFH_FMU.costs_elec,sFH_FMU.table_ts_price_elec.y[1],sFH_FMU.table_HT_NT.y[1],sFH_FMU.ts_T_inside_max,sFH_FMU.ts_T_inside_min,sFH_FMU.TDem_DHW,sFH_FMU.mFlow_DHW,sFH_FMU.dem_e_mob,sFH_FMU.dem_elec,sFH_FMU.price_el,sFH_FMU.Electricity.P_el_dom,sFH_FMU.outputs.outputsDist.t_DHW,sFH_FMU.outputs.outputsDist.t_TES,sFH_FMU.outputs.outputsDist.ch_TES,sFH_FMU.outputs.outputsDist.ch_DHW,sFH_FMU.outputs.outputsGen.power_HP,sFH_FMU.outputs.outputsGen.heat_rod,sFH_FMU.outputs.outputsGen.heat_HP,sFH_FMU.outputs.outputsGen.power_rod,sFH_FMU.outputs.outputsGen.T_supply,sFH_FMU.outputs.outputsGen.T_return,sFH_FMU.outputs.outputsDem.T_Air,sFH_FMU.outputs.outputsDem.dch_DHW,sFH_FMU.outputs.outputsDem.dT_vio,sFH_FMU.outputs.outputsTra.T_return_UFH,sFH_FMU.outputs.outputsTra.T_supply_UFH,sFH_FMU.outputs.outputsTra.Q_conv_UFH,sFH_FMU.outputs.outputsTra.Q_rad_UFH,sFH_FMU.outputs.outputsTra.dch_TES,sFH_FMU.outputs.outputsTra.T_panel_heating1,sFH_FMU.outputs.outputsElec.power_use_PV,sFH_FMU.outputs.outputsElec.power_to_grid_PV,sFH_FMU.outputs.outputsElec.power_to_BAT_PV,sFH_FMU.outputs.outputsElec.power_use_BAT,sFH_FMU.outputs.outputsElec.power_to_grid_BAT,sFH_FMU.outputs.outputsElec.power_to_BAT_from_grid,sFH_FMU.outputs.outputsElec.ch_BAT,sFH_FMU.outputs.outputsElec.dch_BAT,sFH_FMU.outputs.outputsElec.soc_BAT,sFH_FMU.outputs.outputsElec.power_to_grid,sFH_FMU.outputs.outputsElec.power_from_grid,sFH_FMU.outputs.outputsElec.res_elec
0,0,0,0,0,0,0,0.10563111,0.316,291.65,291.15,283.15,0,0,60.77634,0.000346,60.77634,303.15,303.15,0,0,1596.5125,0,7000,0,298.15,298.15,291.15,0,0,303.15,293.15,2571.6958,2628.2612,-13871.571,296.30627,0,0,0,1657.2888,0,0,0,1657.2888,0.3,0,0,1657.2888
900,0,0,0,0.0053944523,0,2.1311788e-19,0.10563111,0.316,291.65,291.15,283.15,0,0,61.187057,0.000346,61.187057,306.0059,302.55988,6211.0664,0,2914.8152,0,7000,0,317.5302,310.46124,291.27005,0,0,292.53583,297.1018,220.83325,304.12332,0,291.71283,0,0,0,2976.0024,0,0,0,2976.0024,0.25033703,0,0,2976.0024
1800,0,0,0,0.008736062,0,0.012764516,0.10563111,0.316,291.65,291.15,283.15,0,0,60.204514,0.000346,60.204514,310.47543,300.74615,6366.0186,0,3199.4744,0,7000,0,322.15857,314.91327,291.5684,0,0,293.19968,297.82114,584.849,798.4864,0,292.741,0,0,0,0,0,7.263441e-05,0,0,0.19999896,0,3259.679,3259.679
2700,0,0,0,0.00876412,0,0.102461606,0.10563111,0.316,291.65,291.15,283.15,0,0,60.536392,0.000346,60.536392,314.96738,299.15457,6362.2646,0,3475.0208,0,7000,0,326.5565,319.31546,291.58298,0,0,297.94827,300.8726,1784.8495,2021.4934,4056.4941,295.16162,0,0,0,0,0,7.263441e-05,0,0,0.19999202,0,3535.5571,3535.5571
3600,0,0,0,0.010030871,0,0.18627317,0.08722745,0.316,291.65,291.15,283.15,0,0,59.54356,0.000346,59.54356,319.13123,298.97366,5105.225,0,2660.7158,0,5196.91,0,328.36325,322.5529,291.1509,0,0,292.37326,296.04474,151.16731,190.03122,0,291.454,0,0,0,0,0,7.263441e-05,0,0,0.19998507,0,2720.2593,2720.2593
4500,0,0,0,0.0100795515,0,0.23695803,0.08722745,0.316,291.65,291.15,283.15,0,0,61.579277,0.000346,61.579277,322.2195,296.58243,3656.7656,0,1896.3572,0,3683.8674,0,328.75137,324.58954,291.623,0,0,295.6209,297.2277,1147.2441,1394.8092,2228.8591,293.92322,0,0,0,0,0,7.263441e-05,0,0,0.19997813,0,1957.9364,1957.9364
5400,0,0,0,0.0100795515,0,0.27286106,0.08722745,0.316,291.65,291.15,283.15,0,0,60.69409,0.000346,60.69409,324.38184,295.21613,2515.3342,0,1301.1953,0,2511.9246,0,328.8204,325.95764,291.4643,0,0,294.4877,295.70624,866.6293,1042.6521,1690.3118,293.2019,0,0,0,0,0,7.263441e-05,0,0,0.19997118,0,1361.8894,1361.8894
6300,0,0,0,0.0100795515,0,0.29898727,0.08722745,0.316,291.65,291.15,283.15,0,0,62.048843,0.000346,62.048843,325.87268,294.1869,1923.3665,0,1094.6738,0,2100,0,329.2415,327.05246,291.3223,0,0,293.63797,294.55463,667.51825,783.71423,1271.5205,292.66068,0,0,0,0,0,7.263441e-05,0,0,0.19996424,0,1156.7227,1156.7227
7200,0,0,0,0.0100795515,0,0.3242801,0.09121632,0.316,291.65,291.15,283.15,0,0,63.593704,0.000346,63.593704,327.19687,293.4111,1904.1091,0,1100.7412,0,2100,0,330.57248,328.40536,291.20923,0,0,292.9965,293.6886,518.72284,590.37256,960.07336,292.24927,0,0,0,0,0,7.263441e-05,0,0,0.1999573,0,1164.335,1164.335
8100,0,0,0,0.011537522,0,0.35089687,0.09121632,0.316,291.65,291.15,283.15,0,0,62.98558,0.000346,62.98558,328.51776,292.82446,1905.9121,0,1106.5688,0,2100,0,331.9227,329.75354,291.11877,0,0.03123464,292.5102,293.03452,407.21252,445.7946,727.33954,291.93524,0,0,0,0,0,7.263441e-05,0,0,0.19995035,0,1169.5544,1169.5544
