Time,sFH_FMU.E_to_grid,sFH_FMU.Q_DHW,sFH_FMU.Q_err_DHW,sFH_FMU.tot_vio_Kh,sFH_FMU.rev_elec,sFH_FMU.costs_elec,sFH_FMU.table_ts_price_elec.y[1],sFH_FMU.table_HT_NT.y[1],sFH_FMU.ts_T_inside_max,sFH_FMU.ts_T_inside_min,sFH_FMU.TDem_DHW,sFH_FMU.mFlow_DHW,sFH_FMU.dem_e_mob,sFH_FMU.dem_elec,sFH_FMU.price_el,sFH_FMU.Electricity.P_el_dom,sFH_FMU.outputs.outputsDist.t_DHW,sFH_FMU.outputs.outputsDist.t_TES,sFH_FMU.outputs.outputsDist.ch_TES,sFH_FMU.outputs.outputsDist.ch_DHW,sFH_FMU.outputs.outputsGen.power_HP,sFH_FMU.outputs.outputsGen.heat_rod,sFH_FMU.outputs.outputsGen.heat_HP,sFH_FMU.outputs.outputsGen.power_rod,sFH_FMU.outputs.outputsGen.T_supply,sFH_FMU.outputs.outputsGen.T_return,sFH_FMU.outputs.outputsDem.T_Air,sFH_FMU.outputs.outputsDem.dch_DHW,sFH_FMU.outputs.outputsDem.dT_vio,sFH_FMU.outputs.outputsTra.T_return_UFH,sFH_FMU.outputs.outputsTra.T_supply_UFH,sFH_FMU.outputs.outputsTra.Q_conv_UFH,sFH_FMU.outputs.outputsTra.Q_rad_UFH,sFH_FMU.outputs.outputsTra.dch_TES,sFH_FMU.outputs.outputsTra.T_panel_heating1,sFH_FMU.outputs.outputsElec.power_use_PV,sFH_FMU.outputs.outputsElec.power_to_grid_PV,sFH_FMU.outputs.outputsElec.power_to_BAT_PV,sFH_FMU.outputs.outputsElec.power_use_BAT,sFH_FMU.outputs.outputsElec.power_to_grid_BAT,sFH_FMU.outputs.outputsElec.power_to_BAT_from_grid,sFH_FMU.outputs.outputsElec.ch_BAT,sFH_FMU.outputs.outputsElec.dch_BAT,sFH_FMU.outputs.outputsElec.soc_BAT,sFH_FMU.outputs.outputsElec.power_to_grid,sFH_FMU.outputs.outputsElec.power_from_grid,sFH_FMU.outputs.outputsElec.res_elec
0,0,0,0,0,0,0,0.10563111,0.316,291.65,291.15,283.15,0,0,60.77634,0.000346,60.77634,303.15,303.15,0,0,1596.5125,0,7000,0,298.15,298.15,291.15,0,0,303.15,293.15,2571.6958,2628.2612,-13871.571,296.30627,0,0,0,1657.2888,0,0,0,1657.2888,0.3,0,0,1657.2888
900,0,0,0,0.0053923773,0,2.2074775e-19,0.10563111,0.316,291.65,291.15,283.15,0,0,61.187057,0.000346,61.187057,306.0059,302.55994,6211.0674,0,2914.8154,0,7000,0,317.5302,310.46124,291.27005,0,0,292.53583,297.1013,220.82802,304.1139,0,291.71283,0,0,0,2976.0024,0,0,0,2976.0024,0.25033703,0,0,2976.0024
1800,0,0,0,0.008730491,0,0.012764475,0.10563111,0.316,291.65,291.15,283.15,0,0,60.204514,0.000346,60.204514,310.47543,300.74634,6366.019,0,3199.4744,0,7000,0,322.15857,314.91327,291.56833,0,0,293.19962,297.81955,584.8205,798.44324,0,292.7409,0,0,0,0,0,7.263441e-05,0,0,0.19999896,0,3259.679,3259.679
2700,0,0,0,0.008758557,0,0.10246157,0.10563111,0.316,291.65,291.15,283.15,0,0,60.536392,0.000346,60.536392,314.96738,299.15387,6362.2646,0,3475.0208,0,7000,0,326.5565,319.31546,291.58286,0,0,297.9466,300.87033,1784.3843,2020.9652,4055.688,295.16058,0,0,0,0,0,7.263441e-05,0,0,0.19999202,0,3535.5571,3535.5571
3600,0,0,0,0.010022466,0,0.1862716,0.08722745,0.316,291.65,291.15,283.15,0,0,59.54356,0.000346,59.54356,319.13116,298.97382,5105.2407,0,2660.7256,0,5196.929,0,328.36322,322.55283,291.15097,0,0,292.37335,296.04358,151.20036,190.09203,0,291.45413,0,0,0,0,0,7.263441e-05,0,0,0.19998507,0,2720.269,2720.269
4500,0,0,0,0.010071179,0,0.23695669,0.08722745,0.316,291.65,291.15,283.15,0,0,61.579277,0.000346,61.579277,322.21948,296.58237,3656.785,0,1896.368,0,3683.8887,0,328.75137,324.5895,291.62296,0,0,295.6211,297.228,1147.3065,1394.8586,2229.0337,293.9233,0,0,0,0,0,7.263441e-05,0,0,0.19997813,0,1957.9473,1957.9473
5400,0,0,0,0.010071179,0,0.27285996,0.08722745,0.316,291.65,291.15,283.15,0,0,60.69409,0.000346,60.69409,324.3818,295.2162,2515.3523,0,1301.2051,0,2511.9434,0,328.8204,325.9576,291.4643,0,0,294.48773,295.70633,866.6372,1042.6614,1690.3597,293.2019,0,0,0,0,0,7.263441e-05,0,0,0.19997118,0,1361.8992,1361.8992
6300,0,0,0,0.010071179,0,0.2989862,0.08722745,0.316,291.65,291.15,283.15,0,0,62.048843,0.000346,62.048843,325.87262,294.18707,1923.3646,0,1094.6738,0,2100,0,329.24142,327.05243,291.3223,0,0,293.6381,294.5548,667.5488,783.75146,1271.5975,292.66074,0,0,0,0,0,7.263441e-05,0,0,0.19996424,0,1156.7227,1156.7227
7200,0,0,0,0.010071179,0,0.32427904,0.09121632,0.316,291.65,291.15,283.15,0,0,63.593704,0.000346,63.593704,327.19684,293.4113,1904.1176,0,1100.7412,0,2100,0,330.57245,328.40533,291.20926,0,0,292.99664,293.6888,518.7593,590.4177,960.1601,292.24936,0,0,0,0,0,7.263441e-05,0,0,0.1999573,0,1164.335,1164.335
8100,0,0,0,0.011527526,0,0.3508958,0.09121632,0.316,291.65,291.15,283.15,0,0,62.98558,0.000346,62.98558,328.51773,292.82465,1905.9122,0,1106.5688,0,2100,0,331.92267,329.7535,291.11877,0,0.031216763,292.51035,293.03473,407.24997,445.8413,727.42554,291.93533,0,0,0,0,0,7.263441e-05,0,0,0.19995035,0,1169.5544,1169.5544
9000,0,0,0,0.028902845,0,0.3776349,0.09121632,0.316,291.65,291.15,283.15,0,0,64.24319,0.000346,64.24319,329.8388,292.37936,1907.3135,0,1112.4946,0,2100,0,333.26108,331.0903,291.0446,0,0.1054044,292.13998,292.5391,323.85806,337.51218,553.6062,291.69394,0,0,0,0,0,7.263441e-05,0,0,0.19994342,0,1176.7378,1176.7378
9900,0,0,0,0.06314844,0,0.40452775,0.09121632,0.316,291.65,291.15,283.15,0,0,101.66774,0.000346,101.66774,331.15964,292.03967,1908.1709,0,1117.3405,0,2100,0,334.5918,332.42004,290.9834,0,0.16658711,291.8564,292.1617,261.24326,256.1391,423.52,291.5072,0,0,0,0,0,7.263441e-05,0,0,0.19993648,0,1219.0082,1219.0082
10800,0,0,0,0.11127316,0,0.43236095,0.09594387,0.316,291.65,291.15,283.15,0,0,205.76218,0.000346,205.76218,332.47995,291.77917,1908.7131,0,1119.9281,0,2100,0,335.91776,333.7454,290.9333,0,0.21669772,291.6381,291.87292,213.80186,194.87665,325.77963,291.36197,0,0,0,0,0,7.263441e-05,0,0,0.19992954,0,1325.6903,1325.6903
11700,0,0,0,0.1707251,0,0.4641717,0.09594387,0.316,291.65,291.15,283.15,0,0,221.98691,0.000346,221.98691,333.79953,291.5782,1909.0771,0,1120.994,0,2100,0,337.24063,335.06787,290.89212,0,0.25789136,291.4689,291.65063,177.5915,148.75616,252.09103,291.24817,0,0,0,0,0,7.263441e-05,0,0,0.19992259,0,1342.981,1342.981
12600,0,0,0,0.20800273,0,0.51409614,0.09594387,0.316,291.65,291.15,283.15,0,0,217.75328,0.000346,217.75328,333.9964,296.13916,6839.4585,0,2517.9873,0,7000,0,308.8962,301.11206,291.23938,0,0,295.12653,297.0789,1061.7072,1186.6887,2708.2332,293.36813,0,0,0,0,0,7.263441e-05,0,0,0.19991565,0,2735.7407,2735.7407
13500,0,0,0,0.20800273,0,0.58124787,0.09594387,0.316,291.65,291.15,283.15,0,0,137.22528,0.000346,137.22528,333.96307,298.55695,6666.344,0,2601.3987,0,6856.9727,0,310.93643,303.3493,291.56647,0,0,297.06314,299.69934,1513.6095,1791.4987,3656.8408,294.60126,0,0,0,0,0,7.263441e-05,0,0,0.1999087,0,2738.624,2738.624
14400,0,0,0,0.20803128,0,0.6418391,0.07950298,0.316,291.65,291.15,283.15,0,0,96.21907,0.000346,96.21907,333.9298,301.96906,5339.267,0,2105.345,0,5434.2964,0,311.742,305.66525,291.14645,0,0.0035333135,294.78882,300.4387,307.9989,395.51135,7837.2676,291.764,0,0,0,0,0,7.263441e-05,0,0,0.19990176,0,2201.564,2201.564
15300,0,0,0,0.20992811,0,0.68444884,0.07950298,0.316,291.65,291.15,283.15,0,0,61.464424,0.000346,61.464424,333.89658,303.57153,4635.2026,0,1833.9253,0,4703.704,0,311.95004,306.67462,291.30292,0,0,292.77487,297.84598,379.773,535.6799,0,292.0644,0,0,0,0,0,7.263441e-05,0,0,0.19989483,0,1895.3898,1895.3898
16200,0,0,0,0.21404327,0,0.7206223,0.07950298,0.316,291.65,291.15,283.15,0,0,60.985165,0.000346,60.985165,333.86337,304.62842,4113.3774,0,1630.847,0,4174.1523,0,311.98,307.2985,291.45856,0,0,293.11154,299.16785,562.54706,786.6577,0,292.5865,0,0,0,0,0,7.263441e-05,0,0,0.19988789,0,1691.8323,1691.8323
17100,0,0,0,0.21988924,0,0.7524791,0.07950298,0.316,291.65,291.15,283.15,0,0,61.687206,0.000346,61.687206,333.83017,305.2671,3768.1804,0,1497.0352,0,3831.0454,0,311.92957,307.6409,291.61478,0,0,293.57703,300.2826,840.0375,1134.4861,0,293.29907,0,0,0,0,0,7.263441e-05,0,0,0.19988094,0,1558.7223,1558.7223
18000,0,0,0,0.22558081,0,0.78127366,0.083787315,0.316,291.65,291.15,283.15,0,0,60.470894,0.000346,60.470894,333.797,305.60184,3566.949,0,1418.3752,0,3631.5063,0,311.85217,307.79257,291.7435,0,0.0935061,294.24496,301.36487,1278.2837,1635.6293,0,294.3065,0,0,0,0,0,7.263441e-05,0,0,0.199874,0,1478.8461,1478.8461
18900,0,0,0,0.2290501,0,0.8093131,0.083787315,0.316,291.65,291.15,283.15,0,0,60.666912,0.000346,60.666912,333.76385,305.72256,3465.5088,0,1360.1532,0,3487.527,0,311.76657,307.8224,291.7797,0,0.12967919,295.22076,302.59985,1982.0149,2372.6008,0,295.75363,0,0,0,0,0,7.263441e-05,0,0,0.19986707,0,1420.8202,1420.8202
19800,0,0,0,0.23471138,0,0.83573,0.083787315,0.316,291.65,291.15,283.15,0,0,60.73194,0.000346,60.73194,333.73077,305.81033,3339.536,0,1247.6489,0,3201.345,0,311.75632,307.9555,291.59836,0,0,302.38947,308.4203,2849.542,3190.291,8365.721,297.3117,0,0,0,0,0,7.263441e-05,0,0,0.19986013,0,1308.3809,1308.3809
