Time,sFH_FMU.Electricity.P_el_dom
0,60.77634
900,61.187057
1800,60.204514
2700,60.536392
3600,59.54356
4500,61.579277
5400,60.69409
6300,62.048843
7200,63.593704
8100,62.98558
9000,64.24319
9900,101.66774
10800,205.76218
11700,221.98691
12600,217.75328
13500,137.22528
14400,96.21907
15300,61.464424
16200,60.985165
17100,61.687206
18000,60.470894
18900,60.666912
19800,60.73194
20700,62.088127
21600,61.655876
22500,197.23967
23400,352.88446
24300,2039.4061
25200,2012.2861
26100,990.90924
27000,1710.2572
27900,2158.9053
28800,1787.0587
29700,320.9299
30600,2526.6292
31500,1738.855
32400,844.0668
33300,2371.7942
34200,889.6039
35100,396.72815
36000,413.67728
36900,224.10497
37800,180.01332
38700,169.29643
39600,591.0159
40500,2575.9849
41400,4125.7207
42300,5426.3457
43200,4210.5483
44100,2227.8145
45000,2244.442
45900,2348.3872
46800,604.79254
47700,252.49046
48600,1792.814
49500,2095.74
50400,2026.0138
51300,1461.9973
52200,61.476746
53100,68.93847
54000,148.35605
54900,146.17474
55800,141.25066
56700,136.57639
57600,271.07565
58500,306.47662
59400,303.6786
60300,332.2265
61200,319.05145
62100,398.9865
63000,1470.784
63900,4180.4707
64800,4102.343
65700,4042.0654
66600,4129.5903
67500,3803.3284
68400,1466.6721
69300,1512.4069
70200,1453.3267
71100,817.9121
72000,415.76935
72900,312.31448
73800,224.139
74700,224.66098
75600,263.4411
76500,675.13617
77400,481.2921
78300,453.1202
79200,296.17197
80100,408.21146
81000,419.99432
81900,285.4476
82800,218.5697
83700,101.66068
84600,61.982937
85500,60.720516
86400,60.745964
87300,60.314365
88200,61.353294
89100,61.427036
90000,61.566734
90900,61.263332
91800,60.642258
92700,61.15678
93600,61.52766
94500,60.596165
95400,61.164703
96300,58.895485
97200,97.18137
98100,130.2588
99000,125.701416
99900,216.35336
100800,166.76933
101700,152.76564
102600,144.84676
103500,63.58293
104400,61.65177
105300,62.451572
106200,62.7981
107100,1256.102
108000,1905.4585
108900,1357.0201
109800,290.18365
110700,160.69646
111600,351.05713
112500,393.35873
113400,1419.6086
114300,2251.6638
115200,1268.1263
116100,330.1014
117000,300.06558
117900,1918.1926
118800,1978.7017
119700,1413.6893
120600,182.36487
121500,314.08084
122400,320.92502
123300,317.847
124200,276.41678
125100,372.23407
126000,206.36122
126900,64.594154
127800,378.08478
128700,677.5684
129600,125.19764
130500,195.2331
131400,236.15202
132300,286.42288
133200,317.86353
134100,391.62827
135000,353.3287
135900,317.6216
136800,288.89264
137700,163.56017
138600,200.70021
139500,200.131
140400,195.49925
141300,197.04425
142200,189.00471
143100,197.52081
144000,1411.9757
144900,4166.453
145800,4194.3135
146700,1777.0892
147600,4256.938
148500,4303.7188
149400,4300.5083
150300,4241.2524
151200,1753.9989
152100,680.42303
153000,1411.8195
153900,1689.0803
154800,1580.3019
155700,1603.311
156600,1315.5948
157500,567.98895
158400,579.32416
159300,555.026
160200,304.75803
161100,263.3762
162000,304.12787
162900,369.24988
163800,4125.362
164700,4100.183
165600,4070.1685
166500,3930.0095
167400,2467.8374
168300,214.1111
169200,150.77985
170100,151.44589
171000,79.90397
171900,61.15779
172800,60.75786
173700,61.822662
174600,60.644848
175500,61.604942
176400,61.528397
177300,61.679188
178200,60.89936
179100,59.98873
180000,60.18127
180900,60.0791
181800,61.891273
182700,111.44521
183600,133.80405
184500,181.24313
185400,223.25429
186300,170.7715
187200,147.36366
188100,88.16313
189000,61.072216
189900,62.16782
190800,63.32549
191700,64.20409
192600,65.617775
193500,64.96698
194400,188.26846
195300,318.05417
196200,2435.5999
197100,1407.671
198000,1392.7963
198900,700.2359
199800,2146.1685
200700,2324.2786
201600,2480.7815
202500,1065.5397
203400,411.44904
204300,2253.4265
205200,2556.17
206100,4203.4834
207000,2727.037
207900,1090.5425
208800,1918.6986
209700,442.67023
210600,247.16273
211500,246.37819
212400,222.44136
213300,156.66185
214200,1802.2443
215100,3104.094
216000,1677.5748
216900,301.1352
217800,207.25024
218700,275.31192
219600,345.18274
220500,1257.7725
221400,2918.9294
222300,2635.993
223200,2171.3
224100,2339.2368
225000,2059.978
225900,2271.0288
226800,1474.9414
227700,126.8625
228600,129.22243
229500,207.74374
230400,384.01782
231300,509.04172
232200,511.912
233100,508.4621
234000,511.55212
234900,512.4537
235800,502.74863
236700,482.9133
237600,669.5878
238500,2353.2842
239400,4220.553
240300,4192.9863
241200,4175.27
242100,4117.79
243000,661.43713
243900,873.834
244800,1479.2162
245700,1644.4614
246600,1561.9045
247500,861.41144
248400,364.66068
249300,364.03717
250200,364.50946
251100,364.31393
252000,373.13004
252900,136.35237
253800,66.26951
254700,132.47737
255600,132.68456
256500,126.28674
257400,156.36151
258300,158.12573
259200,152.82132
260100,151.31194
261000,99.073524
261900,61.520523
262800,60.24605
263700,61.946323
264600,61.19739
265500,62.485096
266400,62.461266
267300,61.306572
268200,61.870083
269100,66.70816
270000,134.56909
270900,132.37474
271800,134.36409
272700,84.89473
273600,59.964527
274500,59.76295
275400,61.487343
276300,113.35049
277200,151.63266
278100,153.50075
279000,154.5553
279900,301.1619
280800,345.15497
281700,225.28848
282600,225.58385
283500,1369.5771
284400,2015.2086
285300,1521.7349
286200,195.86014
287100,287.49527
288000,389.17953
288900,264.87247
289800,1642.3909
290700,1817.3784
291600,613.7055
292500,77.322556
293400,4347.313
294300,5548.256
295200,5187.1724
296100,2886.866
297000,1970.6112
297900,453.81488
298800,132.98215
299700,165.60144
300600,362.12015
301500,3248.7395
302400,3447.9624
303300,1459.652
304200,391.15167
305100,227.52998
306000,148.87708
306900,96.346214
307800,125.64627
308700,1495.2413
309600,2758.296
310500,3866.4834
311400,3706.6665
312300,2431.1428
313200,2217.0916
314100,2373.2085
315000,2305.1145
315900,1231.2179
316800,568.37085
317700,2400.6592
318600,2330.3145
319500,3121.9177
320400,4449.107
321300,4222.517
322200,5162.8433
323100,4101.4707
324000,3585.0151
324900,400.31964
325800,529.13055
326700,569.70294
327600,610.99164
328500,607.9543
329400,757.57416
330300,729.5299
331200,1414.2722
332100,1344.7754
333000,1411.1261
333900,1319.4868
334800,300.93723
335700,243.18307
336600,224.31837
337500,224.5999
338400,222.72186
339300,65.214615
340200,61.278954
341100,60.145706
342000,60.94976
342900,59.91721
343800,133.01642
344700,150.22318
345600,149.53654
346500,152.56831
347400,128.91283
348300,92.65033
349200,128.67426
350100,136.85376
351000,136.08656
351900,99.071365
352800,64.08323
353700,63.44267
354600,60.90611
355500,61.920673
356400,61.9183
357300,61.793385
358200,61.096317
359100,61.48821
360000,60.724957
360900,60.296497
361800,60.731777
362700,60.464245
363600,60.624737
364500,149.7513
365400,149.81088
366300,220.8702
367200,2494.8127
368100,2007.2809
369000,431.32684
369900,1158.8661
370800,2618.1921
371700,2063.179
372600,362.04462
373500,1297.4823
374400,844.1721
375300,129.55809
376200,1402.125
377100,2639.0876
378000,2956.8877
378900,2667.4648
379800,2215.0217
380700,2405.0308
381600,3618.3667
382500,2175.0476
383400,1203.1699
384300,215.73111
385200,251.3159
386100,2318.416
387000,3216.3015
387900,2002.8192
388800,423.11206
389700,196.7838
390600,73.358765
391500,60.594685
392400,61.63749
393300,104.464966
394200,143.85077
395100,140.75615
396000,142.12769
396900,139.49684
397800,233.2571
398700,236.78735
399600,228.35637
400500,192.09366
401400,159.89108
402300,182.79112
403200,227.23093
404100,362.12686
405000,472.91772
405900,793.95135
406800,4349.3364
407700,4382.943
408600,4252.424
409500,4213.136
410400,4416.4077
411300,4290.697
412200,4321.3
413100,4309.599
414000,4340.528
414900,4400.837
415800,976.69116
416700,845.07526
417600,1819.3918
418500,1795.7029
419400,1637.6138
420300,1502.4446
421200,569.07294
422100,596.30273
423000,530.1839
423900,432.62573
424800,366.23413
425700,160.95123
426600,161.42369
427500,162.56702
428400,159.71027
429300,161.25613
430200,161.86282
431100,182.49951
432000,152.72139
432900,61.79462
433800,60.47731
434700,60.208794
435600,132.25896
436500,151.80763
437400,155.21745
438300,154.88803
439200,95.71813
440100,125.116165
441000,127.11008
441900,133.97287
442800,104.240685
443700,61.239635
444600,61.86407
445500,60.71355
446400,60.526825
447300,61.02698
448200,60.3644
449100,59.942505
450000,60.401188
450900,61.544346
451800,62.632492
452700,57.73158
453600,247.42526
454500,2614.1936
455400,2127.6868
456300,758.6711
457200,621.1929
458100,507.07568
459000,504.23813
459900,2442.796
460800,2028.7899
461700,498.42477
462600,4044.9663
463500,2691.3894
464400,223.999
465300,309.57196
466200,270.7385
467100,260.4969
468000,256.15955
468900,256.20984
469800,149.90565
470700,143.12868
471600,1827.4814
472500,2836.3796
473400,4360.1816
474300,5546.8984
475200,3869.365
476100,2338.3916
477000,2335.5322
477900,2199.7083
478800,429.30923
479700,1250.1178
480600,2007.7267
481500,2034.5668
482400,485.44342
483300,121.21965
484200,124.59572
485100,143.84883
486000,145.01056
486900,151.91545
487800,144.08855
488700,126.00794
489600,254.85727
490500,445.68832
491400,1717.4252
492300,4382.8267
493200,4439.2603
494100,4386.0244
495000,4316.9116
495900,4324.32
496800,4330.678
497700,4306.6504
498600,4306.891
499500,4291.623
500400,1927.9382
501300,1630.5984
502200,1694.019
503100,1634.4225
504000,1629.1671
504900,819.02893
505800,605.2718
506700,657.6336
507600,651.0347
508500,611.0323
509400,522.71173
510300,377.5896
511200,398.67743
512100,449.40915
513000,449.88196
513900,446.8067
514800,397.6896
515700,359.27283
516600,286.29993
517500,221.78737
518400,59.854515
519300,61.477524
520200,61.197655
521100,60.508217
522000,60.929745
522900,61.42641
523800,125.199066
524700,130.906
525600,132.02283
526500,131.35368
527400,115.33291
528300,96.6058
529200,155.13881
530100,153.8766
531000,155.60135
531900,81.27233
532800,62.401043
533700,61.679333
534600,61.543545
535500,60.452538
536400,60.73193
537300,60.85334
538200,60.470715
539100,61.331654
540000,60.687965
540900,61.68361
541800,60.670204
542700,60.95846
543600,103.48005
544500,646.1254
545400,2573.1306
546300,2141.0308
547200,854.38226
548100,2399.6355
549000,1479.9547
549900,195.55347
550800,397.96838
551700,120.4528
552600,122.50988
553500,127.10358
554400,1998.902
555300,1155.2993
556200,220.51439
557100,251.17729
558000,82.86299
558900,144.82486
559800,179.08401
560700,282.23273
561600,1774.8871
562500,5708.3193
563400,6622.745
564300,4736.4463
565200,5207.0176
566100,3808.717
567000,2259.3982
567900,2000.2699
568800,1444.7915
569700,126.089294
570600,182.62645
571500,259.55838
572400,250.0236
573300,253.80916
574200,86.958534
575100,97.6603
576000,188.14792
576900,297.2126
577800,379.0123
578700,376.42526
579600,383.35367
580500,522.7318
581400,553.52386
582300,1248.4327
583200,4180.4653
584100,4135.572
585000,3954.1619
