Time,sFH_FMU.table_ts_price_elec.y[1],sFH_FMU.costs_elec
0,0.14903353,0
900,0.14903353,3.1145007e-19
1800,0.14903353,0.018009229
2700,0.14903353,0.14456166
3600,0.12306805,0.26280835
4500,0.12306805,0.3343193
5400,0.12306805,0.38497472
6300,0.12306805,0.42183593
7200,0.12869589,0.45752123
8100,0.12869589,0.49507445
9000,0.12869589,0.5328003
9900,0.12869589,0.5707431
10800,0.13536592,0.6100126
11700,0.13536592,0.65489393
12600,0.13536592,0.72533166
13500,0.13536592,0.8200752
14400,0.11216969,0.90556246
15300,0.11216969,0.96568006
16200,0.11216969,1.0167166
17100,0.11216969,1.061663
18000,0.11821441,1.1022888
18900,0.11821441,1.1418494
19800,0.11821441,1.1791205
20700,0.11821441,1.2151146
21600,0.120864555,1.2506223
22500,0.120864555,1.2865165
23400,0.120864555,1.3262093
24300,0.120864555,1.3704375
25200,0.128815,1.4655515
26100,0.128815,1.5620267
27000,0.128815,1.6241907
27900,0.128815,1.7062743
28800,0.14787224,1.8031807
29700,0.14787224,1.956575
30600,0.14787224,2.0632112
31500,0.14787224,2.2589552
32400,0.2085874,2.4271717
33300,0.2085874,2.6135805
34200,0.2085874,2.872223
35100,0.2085874,3.0459878
36000,0.22865704,3.1872985
36900,0.22865704,3.3369777
37800,0.22865704,3.4701588
38700,0.22865704,3.596513
39600,0.25042397,3.7224808
40500,0.25042397,3.890008
41400,0.25042397,4.1839185
42300,0.25042397,4.5710254
43200,0.28210664,5.0270667
44100,0.28210664,5.435175
45000,0.28210664,5.683828
45900,0.28210664,5.91982
46800,0.28824067,6.1533947
47700,0.28824067,6.2618527
48600,0.28824067,6.346114
49500,0.28824067,6.548174
50400,0.28934243,6.78202
51300,0.28934243,7.0234427
52200,0.28934243,7.2367396
53100,0.28934243,7.362853
54000,0.30074698,7.5075593
54900,0.30074698,7.682834
55800,0.30074698,7.8710794
56700,0.30074698,8.064746
57600,0.37697592,8.259871
58500,0.37697592,8.523267
59400,0.37697592,8.808704
60300,0.37697592,9.117552
