Time,sFH_FMU.Electricity.P_el_dom,sFH_FMU.TDem_DHW
0,60.77634,283.15
900,61.187057,283.15
1800,60.204514,283.15
2700,60.536392,283.15
3600,59.54356,283.15
4500,61.579277,283.15
5400,60.69409,283.15
6300,62.048843,283.15
7200,63.593704,283.15
8100,62.98558,283.15
9000,64.24319,283.15
9900,101.66774,283.15
10800,205.76218,283.15
11700,221.98691,283.15
12600,217.75328,283.15
13500,137.22528,283.15
14400,96.21907,283.15
15300,61.464424,283.15
16200,60.985165,283.15
17100,61.687206,283.15
18000,60.470894,283.15
18900,60.666912,283.15
19800,60.73194,283.15
20700,62.088127,283.15
21600,61.655876,283.15
22500,197.23967,283.15
23400,352.88446,283.15
24300,2039.4061,283.15
25200,2012.2861,328.15
26100,990.90924,283.15
27000,1710.2572,286.15
27900,2158.9053,283.15
28800,1787.0587,286.15
29700,320.9299,286.15
30600,2526.6292,286.15
31500,1738.855,286.15
32400,844.0668,286.15
33300,2371.7942,283.15
34200,889.6039,286.15
35100,396.72815,283.15
36000,413.67728,283.15
36900,224.10497,283.15
37800,180.01332,285.15
38700,169.29643,283.15
39600,591.0159,283.15
40500,2575.9849,283.15
41400,4125.7207,286.15
42300,5426.3457,286.15
43200,4210.5483,283.15
44100,2227.8145,283.15
45000,2244.442,283.15
45900,2348.3872,289.15
46800,604.79254,283.15
47700,252.49046,283.15
48600,1792.814,283.15
49500,2095.74,283.15
50400,2026.0138,283.15
51300,1461.9973,283.15
52200,61.476746,286.15
53100,68.93847,283.15
54000,148.35605,283.15
54900,146.17474,283.15
55800,141.25066,286.15
56700,136.57639,283.15
57600,271.07565,283.15
58500,306.47662,283.15
59400,303.6786,286.15
60300,332.2265,283.15
61200,319.05145,283.15
62100,398.9865,283.15
63000,1470.784,283.15
63900,4180.4707,283.15
64800,4102.343,292
65700,4042.0654,285.15
66600,4129.5903,285.15
67500,3803.3284,283.15
68400,1466.6721,286.15
69300,1512.4069,283.15
70200,1453.3267,283.15
71100,817.9121,283.15
72000,415.76935,283.15
72900,312.31448,283.15
73800,224.139,295.15
74700,224.66098,283.15
75600,263.4411,283.15
76500,675.13617,286.15
77400,481.2921,297.15
78300,453.1202,283.15
79200,296.17197,283.15
80100,408.21146,283.15
81000,419.99432,283.15
81900,285.4476,283.15
82800,218.5697,283.15
83700,101.66068,283.15
84600,61.982937,283.15
85500,60.720516,283.15
86400,60.745964,283.15
87300,60.314365,283.15
88200,61.353294,283.15
89100,61.427036,283.15
90000,61.566734,283.15
90900,61.263332,283.15
91800,60.642258,283.15
92700,61.15678,283.15
93600,61.52766,283.15
94500,60.596165,283.15
95400,61.164703,283.15
96300,58.895485,283.15
97200,97.18137,283.15
98100,130.2588,283.15
99000,125.701416,283.15
99900,216.35336,283.15
100800,166.76933,283.15
101700,152.76564,283.15
102600,144.84676,283.15
103500,63.58293,283.15
104400,61.65177,283.15
105300,62.451572,283.15
106200,62.7981,283.15
107100,1256.102,283.15
108000,1905.4585,283.15
108900,1357.0201,283.15
109800,290.18365,283.15
110700,160.69646,283.15
111600,351.05713,300.15
112500,393.35873,283.15
113400,1419.6086,286.15
114300,2251.6638,283.15
115200,1268.1263,286.15
116100,330.1014,286.15
117000,300.06558,286.15
117900,1918.1926,286.15
118800,1978.7017,286.15
119700,1413.6893,283.15
120600,182.36487,286.15
121500,314.08084,283.15
122400,320.92502,283.15
123300,317.847,283.15
124200,276.41678,285.15
125100,372.23407,283.15
126000,206.36122,283.15
126900,64.594154,283.15
127800,378.08478,286.15
128700,677.5684,286.15
129600,125.19764,283.15
130500,195.2331,283.15
131400,236.15202,283.15
132300,286.42288,289.15
133200,317.86353,283.15
134100,391.62827,283.15
135000,353.3287,283.15
135900,317.6216,283.15
136800,288.89264,283.15
137700,163.56017,283.15
138600,200.70021,305
139500,200.131,283.15
140400,195.49925,283.15
141300,197.04425,283.15
142200,189.00471,286.15
143100,197.52081,283.15
144000,1411.9757,283.15
144900,4166.453,283.15
145800,4194.3135,286.15
146700,1777.0892,283.15
147600,4256.938,283.15
148500,4303.7188,283.15
149400,4300.5083,283.15
150300,4241.2524,283.15
151200,1753.9989,286.15
152100,680.42303,285.15
153000,1411.8195,285.15
153900,1689.0803,283.15
154800,1580.3019,286.15
155700,1603.311,283.15
156600,1315.5948,283.15
157500,567.98895,283.15
158400,579.32416,283.15
159300,555.026,283.15
160200,304.75803,295.15
161100,263.3762,283.15
162000,304.12787,283.15
162900,369.24988,286.15
163800,4125.362,328.15
164700,4100.183,283.15
165600,4070.1685,283.15
166500,3930.0095,283.15
167400,2467.8374,283.15
168300,214.1111,283.15
169200,150.77985,283.15
170100,151.44589,283.15
171000,79.90397,283.15
171900,61.15779,283.15
172800,60.75786,283.15
173700,61.822662,283.15
174600,60.644848,283.15
175500,61.604942,283.15
176400,61.528397,283.15
177300,61.679188,283.15
178200,60.89936,283.15
179100,59.98873,283.15
180000,60.18127,283.15
180900,60.0791,283.15
181800,61.891273,283.15
182700,111.44521,283.15
183600,133.80405,283.15
184500,181.24313,283.15
185400,223.25429,283.15
186300,170.7715,283.15
187200,147.36366,283.15
188100,88.16313,283.15
189000,61.072216,283.15
189900,62.16782,283.15
190800,63.32549,283.15
191700,64.20409,283.15
192600,65.617775,283.15
193500,64.96698,283.15
194400,188.26846,283.15
195300,318.05417,283.15
196200,2435.5999,283.15
197100,1407.671,283.15
198000,1392.7963,300.15
198900,700.2359,283.15
199800,2146.1685,286.15
200700,2324.2786,283.15
201600,2480.7815,286.15
202500,1065.5397,286.15
203400,411.44904,286.15
204300,2253.4265,286.15
205200,2556.17,286.15
206100,4203.4834,283.15
207000,2727.037,286.15
207900,1090.5425,283.15
208800,1918.6986,283.15
209700,442.67023,283.15
210600,247.16273,285.15
211500,246.37819,283.15
212400,222.44136,283.15
213300,156.66185,283.15
214200,1802.2443,286.15
215100,3104.094,286.15
216000,1677.5748,283.15
216900,301.1352,283.15
217800,207.25024,283.15
218700,275.31192,328.15
219600,345.18274,283.15
220500,1257.7725,283.15
221400,2918.9294,283.15
222300,2635.993,283.15
223200,2171.3,283.15
224100,2339.2368,283.15
225000,2059.978,286.15
225900,2271.0288,283.15
226800,1474.9414,283.15
227700,126.8625,283.15
228600,129.22243,286.15
229500,207.74374,283.15
230400,384.01782,283.15
231300,509.04172,283.15
232200,511.912,286.15
233100,508.4621,283.15
234000,511.55212,283.15
234900,512.4537,283.15
235800,502.74863,283.15
236700,482.9133,283.15
237600,669.5878,286.15
238500,2353.2842,285.15
239400,4220.553,318.15
240300,4192.9863,283.15
241200,4175.27,286.15
242100,4117.79,283.15
243000,661.43713,283.15
243900,873.834,283.15
244800,1479.2162,283.15
245700,1644.4614,283.15
246600,1561.9045,328.15
247500,861.41144,283.15
248400,364.66068,283.15
249300,364.03717,286.15
250200,364.50946,297.15
251100,364.31393,283.15
252000,373.13004,283.15
252900,136.35237,283.15
253800,66.26951,283.15
254700,132.47737,283.15
255600,132.68456,283.15
256500,126.28674,283.15
257400,156.36151,283.15
