Time,sFH_FMU.outputs.outputsDem.T_Air,sFH_FMU.ts_T_inside_min,sFH_FMU.ts_T_inside_max,sFH_FMU.outputs.outputsDist.t_TES,sFH_FMU.outputs.outputsDist.t_DHW,sFH_FMU.outputs.outputsGen.power_HP,sFH_FMU.outputs.outputsGen.power_rod,sFH_FMU.outputs.outputsElec.power_use_PV,sFH_FMU.outputs.outputsElec.power_to_grid_PV,sFH_FMU.outputs.outputsElec.power_to_BAT_PV,sFH_FMU.outputs.outputsElec.soc_BAT,sFH_FMU.outputs.outputsElec.res_elec,sFH_FMU.outputs.outputsTra.T_supply_UFH,sFH_FMU.outputs.outputsDist.ch_TES,sFH_FMU.outputs.outputsDist.ch_DHW,sFH_FMU.outputs.outputsGen.heat_rod,sFH_FMU.outputs.outputsGen.heat_HP,sFH_FMU.outputs.outputsGen.T_return,sFH_FMU.outputs.outputsGen.T_supply,sFH_FMU.outputs.outputsTra.T_return_UFH,sFH_FMU.outputs.outputsTra.Q_conv_UFH,sFH_FMU.outputs.outputsTra.Q_rad_UFH,sFH_FMU.outputs.outputsTra.T_panel_heating1,sFH_FMU.outputs.outputsDem.dT_vio,sFH_FMU.outputs.outputsElec.power_use_BAT,sFH_FMU.outputs.outputsElec.power_to_grid_BAT,sFH_FMU.outputs.outputsElec.power_to_BAT_from_grid,sFH_FMU.outputs.outputsElec.ch_BAT,sFH_FMU.outputs.outputsElec.dch_BAT,sFH_FMU.outputs.outputsElec.power_to_grid,sFH_FMU.outputs.outputsElec.power_from_grid,sFH_FMU.mFlow_DHW,sFH_FMU.TDem_DHW,sFH_FMU.dem_e_mob,sFH_FMU.dem_elec,sFH_FMU.table_HT_NT.y[1],sFH_FMU.table_ts_price_elec.y[1],sFH_FMU.price_el
0,291.15,291.15,291.65,303.15,303.15,1596.5125,0,0,0,0,0.3,1657.2888,293.15,0,0,0,7000,298.15,298.15,303.15,2571.6958,2628.2612,296.30627,0,1657.2888,0,0,0,1657.2888,0,0,0,283.15,0,60.77634,0.316,0.10563111,0.000346
900,291.27005,291.15,291.65,302.55994,306.0059,2914.8154,0,0,0,0,0.25033703,2976.0024,297.1013,6211.0674,0,0,7000,310.46124,317.5302,292.53583,220.82802,304.1139,291.71283,0,2976.0024,0,0,0,2976.0024,0,0,0,283.15,0,61.187057,0.316,0.10563111,0.000346
1800,291.56833,291.15,291.65,300.74634,310.47543,3199.4744,0,0,0,0,0.19999896,3259.679,297.81955,6366.019,0,0,7000,314.91327,322.15857,293.19962,584.8205,798.44324,292.7409,0,0,0,7.263441e-05,0,0,0,3259.679,0,283.15,0,60.204514,0.316,0.10563111,0.000346
2700,291.58286,291.15,291.65,299.15387,314.96738,3475.0208,0,0,0,0,0.19999202,3535.5571,300.87033,6362.2646,0,0,7000,319.31546,326.5565,297.9466,1784.3843,2020.9652,295.16058,0,0,0,7.263441e-05,0,0,0,3535.5571,0,283.15,0,60.536392,0.316,0.10563111,0.000346
3600,291.15097,291.15,291.65,298.97382,319.13116,2660.7256,0,0,0,0,0.19998507,2720.269,296.04358,5105.2407,0,0,5196.929,322.55283,328.36322,292.37335,151.20036,190.09203,291.45413,0,0,0,7.263441e-05,0,0,0,2720.269,0,283.15,0,59.54356,0.316,0.08722745,0.000346
4500,291.62296,291.15,291.65,296.58237,322.21948,1896.368,0,0,0,0,0.19997813,1957.9473,297.228,3656.785,0,0,3683.8887,324.5895,328.75137,295.6211,1147.3065,1394.8586,293.9233,0,0,0,7.263441e-05,0,0,0,1957.9473,0,283.15,0,61.579277,0.316,0.08722745,0.000346
5400,291.4643,291.15,291.65,295.2162,324.3818,1301.2051,0,0,0,0,0.19997118,1361.8992,295.70633,2515.3523,0,0,2511.9434,325.9576,328.8204,294.48773,866.6372,1042.6614,293.2019,0,0,0,7.263441e-05,0,0,0,1361.8992,0,283.15,0,60.69409,0.316,0.08722745,0.000346
6300,291.3223,291.15,291.65,294.18707,325.87262,1094.6738,0,0,0,0,0.19996424,1156.7227,294.5548,1923.3646,0,0,2100,327.05243,329.24142,293.6381,667.5488,783.75146,292.66074,0,0,0,7.263441e-05,0,0,0,1156.7227,0,283.15,0,62.048843,0.316,0.08722745,0.000346
7200,291.20926,291.15,291.65,293.4113,327.19684,1100.7412,0,0,0,0,0.1999573,1164.335,293.6888,1904.1176,0,0,2100,328.40533,330.57245,292.99664,518.7593,590.4177,292.24936,0,0,0,7.263441e-05,0,0,0,1164.335,0,283.15,0,63.593704,0.316,0.09121632,0.000346
8100,291.11877,291.15,291.65,292.82465,328.51773,1106.5688,0,0,0,0,0.19995035,1169.5544,293.03473,1905.9122,0,0,2100,329.7535,331.92267,292.51035,407.24997,445.8413,291.93533,0.031216763,0,0,7.263441e-05,0,0,0,1169.5544,0,283.15,0,62.98558,0.316,0.09121632,0.000346
