Zeit,GloHorRad_normal,GloHorRad_warm,GloHorRad_kalt
0,0,0,0
3600,0,0,0
7200,0,0,0
10800,0,0,0
14400,0,0,0
18000,0,0,0
21600,0,0,0
25200,0,0,0
28800,0,0,0
32400,0,0,5
36000,9,28,30
39600,48,51,57
43200,121,36,78
46800,81,120,37
50400,49,144,34
54000,21,81,25
57600,4,2,4
61200,0,0,0
64800,0,0,0
68400,0,0,0
72000,0,0,0
75600,0,0,0
79200,0,0,0
82800,0,0,0
86400,0,0,0
90000,0,0,0
93600,0,0,0
97200,0,0,0
100800,0,0,0
104400,0,0,0
108000,0,0,0
111600,0,0,0
115200,0,0,0
118800,3,0,5
122400,39,41,39
126000,47,92,45
129600,67,71,41
133200,81,104,63
136800,66,76,117
140400,17,33,96
144000,4,4,17
147600,0,0,0
151200,0,0,0
154800,0,0,0
158400,0,0,0
162000,0,0,0
165600,0,0,0
169200,0,0,0
172800,0,0,0
176400,0,0,0
180000,0,0,0
183600,0,0,0
187200,0,0,0
190800,0,0,0
194400,0,0,0
198000,0,0,0
201600,0,0,0
205200,0,0,8
208800,24,46,43
212400,53,54,53
216000,56,55,51
219600,29,53,54
223200,42,43,55
226800,40,23,44
230400,10,4,5
234000,0,0,0
237600,0,0,0
241200,0,0,0
244800,0,0,0
248400,0,0,0
252000,0,0,0
255600,0,0,0
259200,0,0,0
262800,0,0,0
266400,0,0,0
270000,0,0,0
273600,0,0,0
277200,0,0,0
280800,0,0,0
284400,0,0,0
288000,0,0,0
291600,6,0,15
295200,19,36,101
298800,29,52,77
302400,29,63,61
306000,44,61,63
309600,39,103,58
313200,39,53,33
316800,11,3,5
320400,0,0,0
324000,0,0,0
327600,0,0,0
331200,0,0,0
334800,0,0,0
338400,0,0,0
342000,0,0,0
345600,0,0,0
349200,0,0,0
352800,0,0,0
356400,0,0,0
360000,0,0,0
363600,0,0,0
367200,0,0,0
370800,0,0,0
374400,0,0,0
378000,11,0,11
381600,84,41,87
385200,169,60,159
388800,223,44,195
392400,202,49,191
396000,170,43,167
399600,117,23,120
403200,33,3,21
406800,0,0,0
410400,0,0,0
414000,0,0,0
417600,0,0,0
421200,0,0,0
424800,0,0,0
428400,0,0,0
432000,0,0,0
435600,0,0,0
439200,0,0,0
442800,0,0,0
446400,0,0,0
450000,0,0,0
453600,0,0,0
457200,0,0,0
460800,0,0,0
464400,10,0,3
468000,32,32,17
471600,155,42,27
475200,236,38,39
478800,243,32,56
