Time,sFH_FMU_UFH.Transfer.panelHeating[1].panelHeatingSegment[1].panel_Segment2.thermalConductor2.Q_flow,sFH_FMU_UFH.Transfer.panelHeating[1].panelHeatingSegment[1].panel_Segment2.heatCapacitor.T
0,224.36002,303.15
900,224.33702,303.1478
1800,224.31476,303.14566
2700,224.29773,303.14404
3600,224.28624,303.14294
4500,224.27983,303.1423
5400,224.27466,303.1418
6300,224.26808,303.14117
7200,224.26021,303.14044
8100,224.25114,303.13956
9000,224.24098,303.13858
9900,224.22981,303.1375
10800,224.21773,303.13635
11700,224.20479,303.13513
12600,224.1942,303.1341
13500,224.18866,303.13358
14400,224.18622,303.13333
15300,224.18245,303.133
16200,224.17719,303.13248
17100,224.17055,303.13184
18000,224.16264,303.13107
18900,224.15356,303.13022
19800,224.14343,303.12924
20700,224.13231,303.12817
21600,224.12027,303.127
22500,224.10817,303.12585
23400,224.10051,303.12512
24300,224.09756,303.12485
25200,224.095,303.1246
26100,224.09088,303.1242
27000,224.08531,303.1237
27900,224.07841,303.12302
28800,224.07031,303.12222
29700,224.06108,303.12134
30600,224.05081,303.12036
31500,224.0396,303.1193
32400,224.02812,303.1182
33300,224.02095,303.1175
34200,224.0184,303.11728
35100,224.01607,303.11703
36000,224.01216,303.11667
36900,224.00682,303.11615
37800,224.00015,303.1155
38700,223.99228,303.11475
39600,223.98328,303.1139
40500,223.97325,303.11295
41400,223.96228,303.11188
42300,223.95044,303.11075
43200,223.93777,303.10953
44100,223.92438,303.10825
45000,223.91031,303.1069
45900,223.8967,303.1056
46800,223.88799,303.10477
47700,223.88342,303.10434
48600,223.8782,303.10382
49500,223.87167,303.1032
50400,223.86392,303.10245
51300,223.85507,303.10162
52200,223.84517,303.10068
53100,223.83434,303.09964
54000,223.82263,303.0985
54900,223.81012,303.0973
55800,223.79688,303.09604
56700,223.78336,303.09473
57600,223.77405,303.09384
58500,223.76974,303.09344
59400,223.76662,303.09314
60300,223.76204,303.09268
61200,223.7561,303.09213
62100,223.74893,303.09143
63000,223.7406,303.09064
63900,223.73123,303.08975
64800,223.72296,303.08896
65700,223.71956,303.08862
66600,223.72038,303.0887
67500,223.72073,303.08875
68400,223.71938,303.0886
69300,223.71642,303.08832
70200,223.71202,303.0879
71100,223.70627,303.08734
72000,223.6993,303.08667
72900,223.69136,303.08594
73800,223.68661,303.08548
74700,223.6866,303.08548
75600,223.68938,303.08572
76500,223.69057,303.08585
77400,223.69,303.0858
78300,223.6878,303.08557
79200,223.68413,303.08524
80100,223.67908,303.08475
81000,223.67278,303.08414
81900,223.66653,303.08356
82800,223.66473,303.08337
83700,223.66742,303.08362
84600,223.67065,303.08395
85500,223.67203,303.08408
86400,223.67165,303.08405
