Time,sFH_FMU_UFH.Demand.thermalZone[1].intGainsConv.Q_flow,sFH_FMU_UFH.Demand.thermalZone[1].intGainsRad.Q_flow
0,535.9171,589.3208
900,377.31668,704.01373
1800,367.51315,707.20276
2700,366.66858,706.3016
3600,372.13858,703.4778
4500,383.86145,698.5481
5400,398.20978,692.313
6300,412.79947,685.2771
7200,426.05313,678.64374
8100,437.91815,672.52106
9000,449.9106,665.8339
9900,460.26285,659.90967
10800,466.81607,656.35254
11700,469.36694,655.3572
12600,472.09198,655.38544
13500,476.0266,656.9431
14400,480.65726,659.44464
15300,484.91412,661.5503
16200,488.78955,663.1901
17100,490.50897,665.76276
18000,486.52884,671.9701
18900,481.22583,678.54724
19800,474.265,685.78253
20700,466.55588,693.0559
21600,459.19962,699.6062
22500,429.47882,721.91437
23400,391.309,752.4815
24300,353.4929,784.7957
25200,315.18396,817.37994
26100,294.6582,836.50116
27000,297.63272,837.1971
27900,300.21408,837.5391
28800,302.40753,837.5768
29700,303.86386,837.81537
30600,304.8384,837.9962
31500,305.7682,837.62976
32400,307.12906,836.56537
33300,310.48358,835.6494
34200,315.1825,835.89636
35100,319.75177,836.3578
36000,323.89917,836.3273
36900,328.41638,834.89233
37800,332.5237,833.11523
38700,337.97745,828.8692
39600,344.7092,822.31024
40500,350.96484,815.6997
41400,354.44653,811.97064
42300,355.47678,810.7652
43200,355.9357,809.7705
44100,356.1916,808.5799
45000,357.7673,805.3203
45900,360.16763,801.33856
46800,362.1946,800.85504
47700,364.68512,802.3445
48600,368.23492,802.06134
49500,369.437,803.8606
50400,369.99103,805.68665
51300,370.09302,807.35925
52200,369.68854,809.0114
53100,368.79593,810.6757
54000,367.5652,812.21655
54900,365.18347,814.6955
55800,364.14935,815.0307
56700,363.32123,814.9555
57600,363.68423,815.99567
58500,365.17053,818.72174
59400,366.3464,822.51013
60300,366.9341,826.0801
61200,367.439,828.86884
62100,367.79688,831.0372
63000,367.84607,832.8544
63900,367.64337,834.31384
64800,367.8126,835.9826
65700,367.44824,841.3185
66600,368.08337,847.95526
67500,368.38608,854.6437
68400,367.9621,861.1033
69300,368.68024,865.08813
70200,368.90594,868.739
71100,368.7338,872.01746
72000,368.26425,874.87244
72900,367.49115,877.48486
73800,367.644,880.90314
74700,369.07303,885.60986
75600,371.1762,891.1365
76500,372.85568,896.1239
77400,373.91473,900.72327
78300,374.53802,904.80634
79200,374.91397,908.22784
80100,374.98215,911.1461
81000,374.70834,913.68396
81900,374.45218,916.21405
82800,375.41125,919.9498
83700,377.48038,925.0218
84600,379.67166,930.20605
85500,381.3213,934.8286
86400,382.46924,938.9312
