Time,thermalZone.ROM.thermSplitterSolRad.portIn[1].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[2].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[3].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[4].Q_flow,thermalZone.ROM.convHeatSol.Q_flow
0,0,0,0,0,0
900,0,0,0,0,0
1800,0,0,0,0,0
2700,0,0,0,0,0
3600,0,0,0,0,0
4500,0,0,0,0,0
5400,0,0,0,0,0
6300,0,0,0,0,0
7200,0,0,0,0,0
8100,0,0,0,0,0
9000,0,0,0,0,0
9900,0,0,0,0,0
10800,0,0,0,0,0
11700,0,0,0,0,0
12600,0,0,0,0,0
13500,0,0,0,0,0
14400,0,0,0,0,0
15300,0,0,0,0,0
16200,0,0,0,0,0
17100,0,0,0,0,0
18000,0,0,0,0,0
18900,0,0,0,0,0
19800,0,0,0,0,0
20700,0,0,0,0,0
21600,0,0,0,0,0
22500,0,0,0,0,0
23400,0,0,0,0,0
24300,0,0,0,0,0
25200,0,0,0,0,0
26100,0,0,0,0,0
27000,0,0,0,0,0
27900,0,0,0,0,0
28800,0.18991663,0.18991663,0.18991663,0.18991663,0.023494842
29700,3.2267303,3.2267303,3.2267303,3.2267303,0.39918315
30600,10.8296,10.8296,10.8296,10.8296,1.3397443
31500,22.585482,22.585482,22.585482,22.585482,2.7940803
32400,36.246136,36.246136,36.246136,36.246136,4.4840584
33300,50.364986,50.998444,50.998444,50.469017,6.2731204
34200,68.5499,65.643524,65.643524,67.8131,8.277837
35100,89.11807,79.932274,79.932274,86.02028,10.360914
36000,109.815254,94.33063,94.33063,103.3683,12.42819
36900,131.27708,108.64431,108.64431,120.15049,14.496377
37800,153.44055,122.73453,122.73453,136.13152,16.547663
38700,175.37543,136.11972,136.11972,150.5197,18.499008
39600,195.50336,148.09065,148.09065,162.28935,20.226002
40500,212.74394,158.17566,158.17566,170.93332,21.650368
41400,225.96889,165.9107,165.9107,176.08415,22.697147
42300,201.73283,157.86086,157.86086,162.507,21.029737
43200,142.00658,130.6591,130.6591,131.14673,16.530046
44100,98.4847,98.4847,98.4847,98.4847,12.183675
45000,80.924835,80.924835,80.924835,80.924835,10.01132
45900,78.69347,78.69347,78.69347,78.69347,9.735274
