Time,thermalZone.ROM.thermSplitterSolRad.portIn[1].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[2].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[3].Q_flow,thermalZone.ROM.thermSplitterSolRad.portIn[4].Q_flow,thermalZone.ROM.convHeatSol.Q_flow
0,0,0,0,0,0
900,0,0,0,0,0
1800,0,0,0,0,0
2700,0,0,0,0,0
3600,0,0,0,0,0
4500,0,0,0,0,0
5400,0,0,0,0,0
6300,0,0,0,0,0
7200,0,0,0,0,0
8100,0,0,0,0,0
9000,0,0,0,0,0
9900,0,0,0,0,0
10800,0,0,0,0,0
11700,0,0,0,0,0
12600,0,0,0,0,0
13500,0,0,0,0,0
14400,0,0,0,0,0
15300,0,0,0,0,0
16200,0,0,0,0,0
17100,0,0,0,0,0
18000,0,0,0,0,0
18900,0,0,0,0,0
19800,0,0,0,0,0
20700,0,0,0,0,0
21600,0,0,0,0,0
22500,0,0,0,0,0
23400,0,0,0,0,0
24300,0,0,0,0,0
25200,0,0,0,0,0
26100,0,0,0,0,0
27000,0,0,0,0,0
27900,0,0,0,0,0
28800,0,0,0,0,0
29700,0,0,0,0,0
30600,0,0,0,0,0
31500,1.2792773,1.2792773,1.2792773,1.2792773,0.15826112
32400,5.029655,5.029655,5.029655,5.029655,0.62222534
33300,11.121101,11.121101,11.121101,11.121101,1.3758063
34200,19.423132,19.423132,19.423132,19.423132,2.4028616
35100,33.419598,33.419598,33.419598,33.419598,4.134383
36000,54.608322,54.608322,54.608322,54.608322,6.7556686
36900,79.80821,79.80854,79.80854,79.80837,9.873206
37800,112.95627,104.82869,104.82869,108.37474,13.329537
38700,217.3198,139.53238,139.53238,163.14403,20.39779
39600,405.27664,183.32814,183.32814,233.41727,31.093306
40500,584.5013,217.87112,217.87112,276.98764,40.120552
41400,638.54553,227.46881,227.46881,269.84833,42.16489
42300,560.05176,216.83614,216.83614,236.11531,38.036266
43200,442.77814,202.53456,202.53456,207.77142,32.648
44100,326.39438,188.15625,186.46057,186.46057,27.44758
45000,250.51942,175.82655,170.58075,170.58075,23.737345
45900,209.40045,161.7859,155.21352,155.21352,21.080826
46800,171.84418,145.44962,139.45882,139.45882,18.43953
47700,138.58463,127.40624,123.496864,123.496864,15.865503
