Time,QCoolTotal,QHeatTotal,weaDat.weaBus.TDryBul,weaDat.weaBus.HGloHor
0,0,0,270.35,0
3600,0,10000,270.35,0
7200,0,10000,271.15,0
10800,0,10000,271.25,0
14400,0,10000,270.45,0
18000,0,10000,269.55,0
21600,0,10000,268.75,0
25200,0,10000,268.35,0
28800,0,10000,267.75,0
32400,0,10000,268.15,7.451389
36000,0,10000,268.85,67.163124
39600,0,10000,269.55,146.72478
43200,0,10000,270.85,147.61224
46800,0,10000,272.35,113.220764
50400,0,10000,273.25,89.83314
54000,0,10000,273.85,56.50534
57600,0,10000,273.65,10.489224
61200,0,10000,273.45,0
64800,0,10000,273.45,0
68400,0,10000,273.85,0
72000,0,10000,273.85,0
75600,0,10000,273.55,0
79200,0,6982.7695,273.75,0
82800,0,2518.7378,273.35,0
86400,0,1757.6937,273.25,0
90000,0,1804.8746,273.35,0
93600,0,1852.9072,273.75,0
97200,0,1899.6563,273.95,0
100800,0,1965.9263,274.15,0
104400,0,1982.6086,274.65,0
108000,0,2062.493,274.45,0
111600,0,942.352,274.55,0
115200,0,6917.851,274.55,0.48913044
118800,0,10000,274.55,37.93726
122400,0,10000,274.55,125.64653
126000,0,9996.9,275.05,144.69807
129600,0,10000,275.25,105.81913
133200,0,10000,275.55,67.97238
136800,0,9821.355,276.05,39.1375
140400,0,9056.255,276.25,18.8
144000,0,8414.965,276.15,1.5
147600,0,8079.6343,275.95,0
151200,0,8052.4927,275.55,0
154800,0,8841.628,275.15,0
158400,0,9467.312,275.25,0
162000,0,9561.384,275.05,0
165600,0,2081.063,275.35,0
169200,0,0,275.05,0
172800,0,0,275.25,0
176400,0,0,275.35,0
180000,0,0,274.75,0
183600,0,0,274.75,0
187200,0,0,275.05,0
190800,0,0,275.55,0
194400,0,0,276.15,0
198000,0,0,276.65,0
201600,0,3281.102,276.75,0.125
205200,0,7615.8115,277.15,23.858696
208800,0,7756.338,277.45,80.31988
212400,0,6901.693,278.25,139.63747
216000,0,5701.198,279.05,183.08781
219600,0,4903.4707,280.15,147.02078
223200,0,4608.5327,280.05,101.56771
226800,0,4344.331,279.65,48.30833
230400,0,4499.1055,278.95,4.074324
234000,0,4546.306,278.55,0
237600,0,4694.935,277.75,0
241200,0,5558.3184,278.35,0
244800,0,6364.5776,277.65,0
248400,0,6715.8774,277.55,0
252000,0,0,276.95,0
255600,0,0,276.75,0
259200,0,0,276.15,0
262800,0,0,275.95,0
266400,0,0,275.55,0
270000,0,0,274.65,0
273600,0,0,274.15,0
277200,0,0,273.85,0
280800,0,0,273.65,0
284400,0,0,273.55,0
288000,0,2655.3726,273.45,0.78
291600,0,6599.856,273.95,30.960909
295200,0,6610.174,274.15,79.786865
298800,0,6141.496,274.25,112.08269
302400,0,5491.1055,274.75,145.77747
306000,0,4661.0664,275.95,172.83852
309600,0,3752.2844,276.75,146.50381
313200,0,2960.5327,277.15,75.74768
316800,0,3311.4153,276.65,10.5220585
320400,0,3532.2297,276.25,0
324000,0,3606.5308,276.75,0
327600,0,4370.3374,277.45,0
331200,0,5131.626,277.35,0
334800,0,5520.341,276.95,0
338400,0,0,276.95,0
342000,0,0,276.85,0
345600,0,0,277.25,0
349200,0,0,277.15,0
352800,0,0,277.55,0
356400,0,0,277.75,0
360000,0,0,277.65,0
363600,0,0,277.45,0
367200,0,0,277.65,0
370800,0,0,277.75,0
374400,0,1675.4684,277.05,1.5277778
378000,0,5001.2866,277.05,42.64688
381600,0,4534.197,277.85,119.69571
385200,0,3949.8645,278.35,115.49226
388800,0,3979.7393,277.95,80.41861
392400,0,4188.5073,278.05,47.84375
396000,0,4242.08,278.35,29.369566
399600,0,3952.762,278.25,13.201863
403200,0,3658.646,278.55,0.8035714
406800,0,3547.2246,278.35,0
410400,0,3676.3574,278.45,0
414000,0,4666.308,278.05,0
417600,0,5533.6704,278.25,0
421200,0,5843.6006,278.45,0
424800,0,0,278.35,0
428400,0,0,279.45,0
432000,0,0,279.85,0
435600,0,0,280.65,0
439200,0,0,281.35,0
442800,0,0,281.35,0
446400,0,0,281.55,0
450000,0,0,281.75,0
453600,0,0,281.65,0
457200,0,0,281.95,0
460800,0,2387.742,282.25,1.0833334
464400,0,5587.1934,282.45,22.158333
468000,0,5179.471,282.75,56.341667
471600,0,4431.22,283.15,95.07576
475200,0,4156.8755,281.25,100.98142
478800,0,4450.099,281.35,94.65906
482400,0,4168.4355,281.25,103.20043
486000,0,3451.2324,281.15,46.9125
489600,0,3412.6106,280.45,3.5875
493200,0,3850.7305,278.75,0
496800,0,4563.4585,278.55,0
500400,0,4988.5825,278.35,0
504000,0,5010.736,278.55,0
507600,0,5804.79,278.95,0
511200,0,0,278.85,0
514800,0,0,278.95,0
518400,0,0,279.05,0
522000,0,0,279.35,0
525600,0,0,278.65,0
529200,0,0,278.85,0
532800,0,0,278.95,0
536400,0,0,278.25,0
540000,0,0,277.85,0
543600,0,0,277.65,0
547200,0,4185.5884,277.35,0.6875
550800,0,8132.676,276.35,45.71559
554400,0,6926.873,276.65,117.048836
558000,0,5532.866,277.45,167.12076
561600,0,4783.855,278.55,183.69391
565200,0,4462.793,279.35,187.40529
568800,0,3769.8938,280.15,138.64543
572400,0,3128.037,280.15,58.535633
576000,0,3161.4739,279.75,5.147059
579600,0,3562.315,278.75,0
583200,0,4251.9707,278.45,0
586800,0,4724.0557,278.15,0
590400,0,4894.429,277.55,0
594000,0,5979.2905,277.15,0
597600,0,0,277.25,0
601200,0,0,276.75,0
604800,0,0,276.35,0
608400,0,0,276.35,0
612000,0,0,276.15,0
615600,0,0,275.75,0
619200,0,0,275.45,0
622800,0,0,274.85,0
626400,0,0,274.85,0
630000,0,0,274.75,0
633600,0,2987.1318,274.75,1.25
637200,0,6895.4756,274.55,39.657608
640800,0,6536.2065,274.55,93.890465
644400,0,5970.5405,275.95,134.13248
648000,0,5150.3296,276.65,201.6803
651600,0,4048.479,278.55,228.2163
655200,0,3200.3208,278.45,162.89273
658800,0,2364.5059,279.35,81.348305
662400,0,2652.6255,278.75,9.931818
666000,0,3294.2961,276.85,0
669600,0,4106.427,276.25,0
673200,0,5518.788,275.35,0
676800,0,6654.7007,274.75,0
680400,0,7131.16,274.55,0
684000,0,103.79752,274.25,0
687600,0,0,273.85,0
691200,0,0,273.95,0
694800,0,0,274.15,0
698400,0,0,274.75,0
702000,0,0,274.15,0
705600,0,0,273.95,0
709200,0,0,274.25,0
712800,0,0,274.35,0
716400,0,0,274.95,0
720000,0,2536.676,274.75,2.936508
723600,0,6369.1885,274.65,36.218586
727200,0,6474.98,275.15,62.86145
730800,0,6228.736,275.95,50.955677
734400,0,6003.9243,276.15,42.52297
738000,0,5971.341,276.65,53.80168
741600,0,5724.8003,277.05,46.867897
745200,0,5144.8325,277.55,24.350853
748800,0,4649.607,277.95,4.484375
752400,0,4507.984,277.85,0
756000,0,4682.0625,277.85,0
759600,0,5654.581,277.75,0
763200,0,6490.338,277.75,0
766800,0,6809.5674,277.75,0
770400,0,0,277.45,0
774000,0,0,276.95,0
777600,0,0,276.85,0
781200,0,0,276.65,0
784800,0,0,276.85,0
788400,0,0,276.85,0
792000,0,0,276.65,0
795600,0,0,276.75,0
799200,0,0,276.05,0
802800,0,0,275.85,0
806400,0,2683.972,275.95,0
810000,0,6617.732,275.55,34.658936
813600,0,6649.062,275.75,97.15604
817200,0,5891.6294,276.35,145.87253
820800,0,5491.0913,276.65,123.02954
824400,0,5666.457,276.65,93.31376
828000,0,5615.3315,276.85,65.47516
831600,0,5126.2065,276.85,34.098213
835200,0,4715.552,277.05,6.5625
838800,0,4706.8013,276.55,0
842400,0,5003.5933,276.65,0
846000,0,6085.066,276.05,0
849600,0,7036.754,275.65,0
853200,0,7354.1006,276.05,0
856800,0,206.96777,275.35,0
860400,0,0,275.45,0
864000,0,0,274.35,0
867600,0,0,274.25,0
871200,0,0,274.55,0
874800,0,0,274.15,0
878400,0,0,273.15,0
882000,0,0,272.15,0
885600,0,0,271.55,0
889200,0,0,270.65,0
892800,0,3442.1592,270.15,0
896400,0,7619.437,269.85,51.84
900000,0,6679.584,271.35,135.10947
903600,0,5144.3574,272.75,208.75887
907200,0,3976.6213,273.85,240.06554
910800,0,3241.9158,274.45,228.21411
914400,0,2527.6345,274.95,168.8089
918000,0,2009.8959,275.35,85.035675
921600,0,2603.7766,274.65,11.292453
925200,0,3120.0974,273.15,0
928800,0,3668.1006,272.05,0
932400,0,4747.901,272.35,0
936000,0,5569.547,272.55,0
939600,0,5875.351,272.65,0
943200,0,0,272.15,0
946800,0,0,272.25,0
950400,0,0,272.15,0
954000,0,0,272.05,0
957600,0,0,271.45,0
961200,0,0,271.95,0
964800,0,0,271.15,0
968400,0,0,272.25,0
972000,0,0,272.45,0
975600,0,0,272.15,0
979200,0,1984.7249,272.15,1.4318181
982800,0,5596.248,272.15,26.433567
986400,0,5647.7446,272.45,56.01274
990000,0,5570.618,272.65,69.35402
993600,0,5268.7324,273.05,77.43233
997200,0,5059.501,273.35,64.824814
1000800,0,5009.4917,272.95,48.666965
1004400,0,4756.662,273.05,27.274784
1008000,0,4532.5703,273.05,3.5689654
1011600,0,4379.024,273.15,0
1015200,0,4418.4863,272.55,0
1018800,0,5308.4033,272.65,0
1022400,0,6135.579,272.35,0
1026000,0,6587.1084,271.15,0
1029600,0,0,272.05,0
1033200,0,0,270.65,0
1036800,0,0,270.25,0
1040400,0,0,270.65,0
1044000,0,0,270.15,0
1047600,0,0,270.45,0
1051200,0,0,269.75,0
1054800,0,0,269.35,0
1058400,0,0,269.15,0
1062000,0,0,268.75,0
1065600,0,4194.9854,269.35,2.7364864
1069200,0,8147.2764,269.85,29.372889
1072800,0,7757.0073,270.55,59.725304
1076400,0,7221.5566,270.75,60.444168
1080000,0,6820.66,271.05,57.581448
1083600,0,6603.086,271.25,54.264706
1087200,0,6425.0186,271.55,37.238094
1090800,0,6087.508,271.25,16.904762
1094400,0,5792.241,271.25,2.732143
1098000,0,5596.139,271.25,0
1101600,0,5560.068,271.45,0
1105200,0,5535.2344,271.35,0
1108800,0,5385.544,271.65,0
1112400,0,6202.1567,271.65,0
1116000,0,0,271.65,0
1119600,0,0,271.55,0
1123200,0,0,271.45,0
1126800,0,0,271.15,0
1130400,0,0,271.15,0
1134000,0,0,271.05,0
1137600,0,0,271.05,0
1141200,0,0,270.85,0
1144800,0,0,270.65,0
1148400,0,0,270.85,0
1152000,0,4203.5493,270.35,1.9207317
1155600,0,8253.287,270.35,27
1159200,0,7825.604,270.35,51.483116
1162800,0,7463.259,270.65,51.896152
1166400,0,7104.4253,270.65,60.2
1170000,0,6844.1685,271.05,60.648647
1173600,0,6669.6084,271.15,39.76044
1177200,0,6301.453,271.25,20.032085
1180800,0,5960.1978,271.25,4.0588236
1184400,0,5743.3315,271.45,0
1188000,0,5725.5864,271.15,0
1191600,0,5726.2173,271.15,0
1195200,0,5612.8975,271.05,0
1198800,0,6491.4575,270.75,0
1202400,0,0,270.65,0
1206000,0,0,270.45,0
1209600,0,0,270.45,0
1213200,0,0,270.25,0
1216800,0,0,270.15,0
1220400,0,0,269.95,0
1224000,0,0,270.05,0
1227600,0,0,270.05,0
1231200,0,0,270.05,0
1234800,0,0,269.95,0
1238400,0,3148.8792,269.85,0.94827586
1242000,0,7438.8643,270.25,26.227049
1245600,0,7760.892,270.55,68.94006
1249200,0,7456.326,270.65,72.98411
1252800,0,7090.794,271.35,67.33063
1256400,0,6739.5186,271.75,107.81871
1260000,0,5876.3306,272.45,128.36273
1263600,0,5183.098,273.15,49.906624
1267200,0,5192.4443,273.05,2.4818182
1270800,0,5105.333,273.25,0
1274400,0,5083.3823,273.15,0
1278000,0,5903.1436,273.15,0
1281600,0,6679.815,273.05,0
1285200,0,6971.989,272.95,0
1288800,0,0,272.15,0
1292400,0,0,271.35,0
1296000,0,0,270.65,0
1299600,0,0,269.95,0
1303200,0,0,269.35,0
1306800,0,0,269.15,0
1310400,0,0,268.75,0
1314000,0,0,269.15,0
1317600,0,0,268.75,0
1321200,0,0,268.85,0
1324800,0,3324.0488,268.55,0
1328400,0,7615.1426,268.75,54.37404
1332000,0,7019.2446,269.95,142.82437
1335600,0,5657.6924,271.75,218.85768
1339200,0,4493.096,272.45,254.89539
1342800,0,3644.895,273.45,245.07594
1346400,0,2851.5786,274.35,187.40154
1350000,0,2374.876,274.15,102.89164
1353600,0,2942.3606,273.95,21.16757
1357200,0,3307.2485,273.05,0.6118421
1360800,0,3687.033,271.65,0
1364400,0,4831.1035,271.25,0
1368000,0,5728.1313,271.65,0
1371600,0,6161.743,270.85,0
1375200,0,0,270.55,0
1378800,0,0,270.15,0
1382400,0,0,269.55,0
1386000,0,0,268.65,0
1389600,0,0,267.55,0
1393200,0,0,267.95,0
1396800,0,0,266.85,0
1400400,0,0,267.45,0
1404000,0,0,267.25,0
1407600,0,0,267.05,0
1411200,0,3095.4534,266.85,2.9482143
1414800,0,7298.426,266.45,56.932343
1418400,0,6839.1685,267.05,128.39444
1422000,0,6161.395,268.45,194.79271
1425600,0,4912.4834,270.15,255.39429
1429200,0,3938.8713,271.95,251.21904
1432800,0,3059.0635,272.55,194.61494
1436400,0,2566.4167,272.75,106.78984
1440000,0,2992.9326,272.85,23.093666
1443600,0,3334.9553,272.15,0.82051283
1447200,0,3615.638,271.95,0
1450800,0,4660.1714,271.45,0
1454400,0,5655.9,270.85,0
1458000,0,6149.246,270.45,0
1461600,0,0,269.95,0
1465200,0,0,269.85,0
1468800,0,0,269.15,0
1472400,0,0,268.65,0
1476000,0,0,268.95,0
1479600,0,0,268.65,0
1483200,0,0,268.05,0
1486800,0,0,267.75,0
1490400,0,0,267.55,0
1494000,0,0,267.75,0
1497600,0,2967.4165,267.15,0
1501200,0,7051.91,267.75,56.245323
1504800,0,6561.551,268.45,146.38596
1508400,0,5455.9463,269.65,213.99411
1512000,0,4481.321,270.95,247.21872
1515600,0,3718.0125,271.85,244.66211
1519200,0,3072.9648,272.35,185.95181
1522800,0,2612.1804,272.65,102.34728
1526400,0,2608.3542,272.75,22.54301
1530000,0,3097.3406,272.05,0.7916667
1533600,0,3435.1213,271.85,0
1537200,0,4459.186,271.75,0
1540800,0,5359.2104,271.85,0
1544400,0,5738.3228,271.85,0
1548000,0,0,271.75,0
1551600,0,0,272.15,0
1555200,0,0,272.75,0
1558800,0,0,273.35,0
1562400,0,0,273.85,0
1566000,0,0,274.05,0
1569600,0,0,273.65,0
