Time,QCoolTotal,QHeatTotal,weaDat.weaBus.TDryBul,weaDat.weaBus.HGloHor
0,0,0,277.75,0
3600,0,4119.182,277.75,0
7200,0,6752.0996,276.55,0
10800,0,8803.82,275.65,0
14400,0,10000,275.45,0
18000,0,10000,275.25,0
21600,0,10000,275.25,0
25200,0,9145.669,275.15,0
28800,0,10000,275.05,0
32400,0,10000,274.65,10.765152
36000,0,10000,275.55,40.088215
39600,0,10000,276.25,43.223164
43200,0,10000,276.45,74.415405
46800,0,10000,277.15,144.0936
50400,0,10000,277.05,115.85045
54000,0,10000,276.65,33.88347
57600,0,10000,276.25,0
61200,0,10000,273.75,0
64800,0,10000,272.75,0
68400,0,10000,272.35,0
72000,0,10000,271.55,0
75600,0,10000,271.25,0
79200,0,8061.5513,270.55,0
82800,0,4306.096,270.55,0
86400,0,3515.766,270.55,0
90000,0,3510.828,270.25,0
93600,0,3677.3354,269.85,0
97200,0,3742.8162,270.05,0
100800,0,3714.1477,270.05,0
104400,0,3656.9343,270.25,0
108000,0,3489.671,270.85,0
111600,0,1969.0068,271.15,0
115200,0,7541.793,271.55,0
118800,0,10000,271.75,14.92146
122400,0,10000,272.85,67.10979
126000,0,10000,273.25,85.43961
129600,0,10000,274.25,90.37153
133200,0,9998.549,275.65,93.18261
136800,0,9644.943,276.05,54.19375
140400,0,8982.59,276.05,14.975695
144000,0,8406.069,275.85,0.8055556
147600,0,8097.7036,275.45,0
151200,0,8005.708,275.65,0
154800,0,8690.937,275.45,0
158400,0,9268.494,275.45,0
162000,0,9370.688,275.25,0
165600,0,1935.0498,275.05,0
169200,0,0,274.95,0
172800,0,0,275.05,0
176400,0,0,274.95,0
180000,0,0,274.85,0
183600,0,0,275.05,0
187200,0,0,274.95,0
190800,0,0,274.65,0
194400,0,0,274.15,0
198000,0,0,273.75,0
201600,0,3497.8914,273.35,0
205200,0,7992.7017,273.75,21.37264
208800,0,8433.979,273.75,51.438335
212400,0,8142.2314,274.05,54.739025
216000,0,7679.5483,274.15,54.43077
219600,0,7343.3853,274.35,49.88034
223200,0,7096.6416,274.55,33.08889
226800,0,6711.185,274.55,13.05
230400,0,6356.0293,274.45,0
234000,0,6089.7314,274.15,0
237600,0,5969.7554,274.15,0
241200,0,6700.854,274.15,0
244800,0,7392.151,274.15,0
248400,0,7645.2886,273.75,0
252000,0,318.70886,273.65,0
255600,0,0,273.45,0
259200,0,0,273.25,0
262800,0,0,273.15,0
266400,0,0,272.95,0
270000,0,0,272.85,0
273600,0,0,272.85,0
277200,0,0,272.75,0
280800,0,0,272.85,0
284400,0,0,272.85,0
288000,0,2910.3225,272.95,0
291600,0,7125.948,273.25,15.695122
295200,0,7619.8833,273.65,44.683666
298800,0,7282.09,274.15,57.91203
302400,0,6777.3003,274.35,62.778233
306000,0,6434.764,274.25,88.680954
309600,0,5898.4126,274.15,78
313200,0,5642.2026,274.05,28
316800,0,5492.082,274.05,0
320400,0,5307.999,273.85,0
324000,0,5262.5537,273.65,0
327600,0,6059.8076,273.65,0
331200,0,6836.615,273.25,0
334800,0,7124.4644,273.35,0
338400,0,0,273.65,0
342000,0,0,273.75,0
345600,0,0,273.85,0
349200,0,0,273.95,0
352800,0,0,273.75,0
356400,0,0,273.65,0
360000,0,0,273.85,0
363600,0,0,273.85,0
367200,0,0,273.85,0
370800,0,0,273.75,0
374400,0,2389.404,274.05,0
378000,0,6361.5522,273.75,16.858553
381600,0,6854.9707,273.85,54.004818
385200,0,6587.276,273.95,52.139347
388800,0,6280.4907,273.75,46.69728
392400,0,6087.847,273.65,48.3
396000,0,5949.6294,273.75,33
399600,0,5634.761,273.75,13
403200,0,5355.523,273.45,0
406800,0,5192.3765,272.95,0
410400,0,5181.7344,272.85,0
414000,0,6003.4854,272.75,0
417600,0,6774.304,272.65,0
421200,0,7043.7485,272.75,0
424800,0,0,272.75,0
428400,0,0,272.65,0
432000,0,0,272.55,0
435600,0,0,272.55,0
439200,0,0,272.35,0
442800,0,0,272.25,0
446400,0,0,272.15,0
450000,0,0,272.05,0
453600,0,0,271.85,0
457200,0,0,271.55,0
460800,0,3964.5347,271.45,0
464400,0,8014.542,271.05,13.913043
468000,0,7968.9565,271.05,39.441124
471600,0,7472.224,271.25,40.364582
475200,0,7087.8643,271.15,35.15625
478800,0,6942.3184,271.05,28.25
482400,0,6823.6206,271.15,19.166666
486000,0,6423.574,271.45,7.5833335
489600,0,6014.349,271.85,0.125
493200,0,5699.9194,272.25,0
496800,0,5586.8843,272.35,0
500400,0,5490.2813,272.65,0
504000,0,5310.8896,272.65,0
507600,0,6128.462,272.65,0
511200,0,0,272.75,0
514800,0,0,272.55,0
518400,0,0,272.35,0
522000,0,0,272.05,0
525600,0,0,271.85,0
529200,0,0,271.55,0
532800,0,0,271.25,0
536400,0,0,271.05,0
540000,0,0,271.15,0
543600,0,0,271.35,0
