Time,sFH_FMU_UFH.Transfer.panelHeating[1].panelHeatingSegment[1].panel_Segment1.heatCapacitor.T,sFH_FMU_UFH.Transfer.panelHeating[1].panelHeatingSegment[1].panel_Segment2.heatCapacitor.T,sFH_FMU_UFH.Transfer.panelHeating[1].panelHeatingSegment[1].panel_Segment1.thermalConductor2.port_b.T
0,303.15,303.15,294.22452
900,303.10422,303.1478,294.52704
1800,303.06308,303.14566,294.53833
2700,303.048,303.14404,294.5371
3600,303.06024,303.14294,294.52838
4500,303.09723,303.1423,294.51147
5400,303.1397,303.1418,294.4896
6300,303.17477,303.14117,294.46475
7200,303.20297,303.14044,294.44043
8100,303.22488,303.13956,294.41678
9000,303.24106,303.13858,294.3909
9900,303.25198,303.1375,294.3667
10800,303.25812,303.13635,294.34906
11700,303.25992,303.13513,294.3385
12600,303.27322,303.1341,294.33
13500,303.31116,303.13358,294.32434
14400,303.3638,303.13333,294.32043
15300,303.4094,303.133,294.31552
16200,303.44708,303.13248,294.30948
17100,303.4776,303.13184,294.30597
18000,303.50162,303.13107,294.3123
18900,303.51968,303.13022,294.32025
19800,303.53232,303.12924,294.33075
20700,303.54007,303.12817,294.34192
21600,303.5433,303.127,294.35156
22500,303.54633,303.12585,294.4134
23400,303.57153,303.12512,294.4989
24300,303.62012,303.12485,294.5911
25200,303.6705,303.1246,294.68692
26100,303.71317,303.1242,294.74072
27000,303.74835,303.1237,294.7468
27900,303.7767,303.12302,294.75195
28800,303.7988,303.12222,294.75635
29700,303.81516,303.12134,294.75928
30600,303.8263,303.12036,294.76123
31500,303.8326,303.1193,294.7631
32400,303.8377,303.1182,294.7658
33300,303.86377,303.1175,294.77255
34200,303.9124,303.11728,294.78195
35100,303.9615,303.11703,294.7911
36000,304.00244,303.11667,294.79944
36900,304.03595,303.11615,294.8085
37800,304.06268,303.1155,294.81674
38700,304.0832,303.11475,294.82767
39600,304.09805,303.1139,294.84116
40500,304.10776,303.11295,294.8537
41400,304.1128,303.11188,294.86066
42300,304.11346,303.11075,294.86273
43200,304.11014,303.10953,294.86365
44100,304.10324,303.10825,294.86417
45000,304.09302,303.1069,294.8673
45900,304.0853,303.1056,294.87213
46800,304.1016,303.10477,294.8762
47700,304.13818,303.10434,294.88123
48600,304.1712,303.10382,294.88834
49500,304.19742,303.1032,294.89075
50400,304.2174,303.10245,294.89185
51300,304.23172,303.10162,294.89206
52200,304.24078,303.10068,294.89124
53100,304.24512,303.09964,294.88947
54000,304.24512,303.0985,294.887
54900,304.2411,303.0973,294.8822
55800,304.2335,303.09604,294.88013
56700,304.22464,303.09473,294.87848
57600,304.2365,303.09384,294.87918
58500,304.2729,303.09344,294.88214
59400,304.3146,303.09314,294.88452
60300,304.3488,303.09268,294.88568
61200,304.37592,303.09213,294.88672
62100,304.39667,303.09143,294.88742
63000,304.41156,303.09064,294.8875
63900,304.42114,303.08975,294.88712
64800,304.43607,303.08896,294.88745
65700,304.47476,303.08862,294.88672
66600,304.53372,303.0887,294.888
67500,304.58978,303.08875,294.8886
68400,304.6368,303.0886,294.88776
69300,304.67557,303.08832,294.88922
70200,304.70676,303.0879,294.88965
71100,304.73105,303.08734,294.8893
72000,304.74902,303.08667,294.88837
72900,304.7621,303.08594,294.8868
73800,304.7907,303.08548,294.88712
74700,304.84225,303.08548,294.88998
75600,304.90698,303.08572,294.89423
76500,304.96323,303.08585,294.89755
77400,305.01022,303.0858,294.8997
78300,305.0488,303.08557,294.90094
79200,305.07968,303.08524,294.9017
80100,305.10352,303.08475,294.90186
81000,305.12094,303.08414,294.9013
81900,305.13846,303.08356,294.9008
82800,305.1776,303.08337,294.9027
83700,305.2384,303.08362,294.90686
84600,305.3013,303.08395,294.91125
85500,305.35437,303.08408,294.91455
86400,305.39832,303.08405,294.91687
