Time,thermalZone.preTemRoof.T,thermalZone.preTemFloor.T,thermalZone.preTemWall.T,thermalZone.preTemWin.T
0,272.51392,286.15,272.51392,273.85
900,272.48978,286.15,272.48978,273.82657
1800,272.47562,286.15,272.47562,273.8125
2700,272.4806,286.15,272.4806,273.8172
3600,272.51392,286.15,272.51392,273.85
4500,272.5656,286.15,272.5656,273.9
5400,272.61862,286.15,272.61862,273.95
6300,272.6714,286.15,272.6714,274
7200,272.7225,286.15,272.7225,274.05
8100,272.77145,286.15,272.77145,274.1
9000,272.81912,286.15,272.81912,274.15
9900,272.8658,286.15,272.8658,274.2
10800,272.912,286.15,272.912,274.25
11700,272.9571,286.15,272.9571,274.3
12600,273.00122,286.15,273.00122,274.35
13500,273.04572,286.15,273.04572,274.4
14400,273.09186,286.15,273.09186,274.45
15300,273.15277,286.15,273.15277,274.51328
16200,273.23145,286.15,273.23145,274.59375
17100,273.31372,286.15,273.31372,274.67734
18000,273.38556,286.15,273.38556,274.75
18900,273.44092,286.15,273.44092,274.80585
19800,273.48788,286.15,273.48788,274.85312
20700,273.53342,286.15,273.53342,274.89883
21600,273.58456,286.15,273.58456,274.95
22500,273.65393,286.15,273.65393,275.01913
23400,273.73853,286.15,273.73853,275.10312
24300,273.822,286.15,273.822,275.18555
25200,273.88788,286.15,273.88788,275.25
26100,273.91452,286.15,273.91452,275.2741
27000,273.90884,286.15,273.90884,275.26428
27900,273.89746,286.15,273.89746,275.2473
28800,273.90887,286.15,273.908,275.25
29700,273.97342,286.15,273.9586,275.27768
30600,274.09436,286.15,274.04575,275.31906
31500,274.26862,286.15,274.16833,275.3759
32400,274.4763,286.15,274.31647,275.45
33300,274.74896,286.15,274.5244,275.58124
34200,275.07666,286.15,274.79385,275.76666
35100,275.39453,286.15,275.05685,275.94376
36000,275.64178,286.15,275.2471,276.05
36900,275.82983,286.15,275.3777,276.1
37800,276.01236,286.15,275.50287,276.15
38700,276.1855,286.15,275.62033,276.2
39600,276.34268,286.15,275.72623,276.25
40500,276.48032,286.15,275.81894,276.3
41400,276.59442,286.15,275.89664,276.35
42300,276.54272,286.15,275.87018,276.4
43200,276.3001,286.15,275.73547,276.45
44100,276.02557,286.15,275.5953,276.48813
