Time,thermalZone.preTemRoof.T,thermalZone.preTemFloor.T,thermalZone.preTemWall.T,thermalZone.preTemWin.T
0,267.47003,286.15,267.47003,269.05
900,267.34177,286.15,267.34177,268.9328
1800,267.26566,286.15,267.26566,268.8625
2700,267.29172,286.15,267.29172,268.88593
3600,267.47003,286.15,267.47003,269.05
4500,267.7435,286.15,267.7435,269.3
5400,268.01984,286.15,268.01984,269.55
6300,268.29642,286.15,268.29642,269.8
7200,268.57074,286.15,268.57074,270.05
8100,268.845,286.15,268.845,270.3
9000,269.1199,286.15,269.1199,270.55
9900,269.3904,286.15,269.3904,270.8
10800,269.65164,286.15,269.65164,271.05
11700,269.81296,286.15,269.81296,271.20782
12600,269.84424,286.15,269.84424,271.2375
13500,269.8314,286.15,269.8314,271.22345
14400,269.86014,286.15,269.86014,271.25
15300,269.93832,286.15,269.93832,271.325
16200,270.01654,286.15,270.01654,271.4
17100,270.09473,286.15,270.09473,271.475
18000,270.1729,286.15,270.1729,271.55
18900,270.2511,286.15,270.2511,271.625
19800,270.3293,286.15,270.3293,271.7
20700,270.4075,286.15,270.4075,271.775
21600,270.4857,286.15,270.4857,271.85
22500,270.52982,286.15,270.52982,271.89374
23400,270.53305,286.15,270.53305,271.9
24300,270.53632,286.15,270.53632,271.90625
25200,270.5804,286.15,270.5804,271.95
26100,270.6652,286.15,270.6652,272.03125
27000,270.76306,286.15,270.76306,272.125
27900,270.87387,286.15,270.87387,272.23126
28800,270.99747,286.15,270.99747,272.35
29700,271.12753,286.15,271.12753,272.475
30600,271.25778,286.15,271.25778,272.6
31500,271.39972,286.15,271.39426,272.725
32400,271.56454,286.15,271.54266,272.85
33300,271.7532,286.15,271.70392,272.975
34200,271.9652,286.15,271.8774,273.1
35100,272.22876,286.15,272.07742,273.225
36000,272.55264,286.15,272.30884,273.35
36900,272.86032,286.15,272.50955,273.42813
37800,273.11572,286.15,272.666,273.45
38700,273.51733,286.15,272.95898,273.47186
39600,274.13382,286.15,273.44702,273.55
40500,274.72205,286.15,273.919,273.675
41400,274.98743,286.15,274.12234,273.8
42300,274.9549,286.15,274.08813,273.925
43200,274.85022,286.15,274.00662,274.05
44100,274.72864,286.15,273.9382,274.175
45000,274.64767,286.15,273.92545,274.3
45900,274.60474,286.15,273.9478,274.425
46800,274.56268,286.15,273.9702,274.55
47700,274.5113,286.15,273.98242,274.6625
48600,274.43994,286.15,273.97372,274.75
49500,274.35153,286.15,273.9531,274.8125
50400,274.24527,286.15,273.91434,274.85
51300,274.1323,286.15,273.86612,274.875
52200,274.02417,286.15,273.82098,274.9
53100,273.9288,286.15,273.78284,274.925
54000,273.85538,286.15,273.75623,274.95
54900,273.80753,286.15,273.74414,274.975
55800,273.7871,286.15,273.74792,275
56700,273.78366,286.15,273.76086,275.025
57600,273.7867,286.15,273.77618,275.05
58500,273.76074,286.15,273.75803,275.03937
59400,273.69537,286.15,273.69537,274.98
60300,273.62076,286.15,273.62076,274.90564
61200,273.56628,286.15,273.56628,274.85
62100,273.53503,286.15,273.53503,274.81625
63000,273.50848,286.15,273.50848,274.78665
63900,273.48953,286.15,273.48953,274.76376
64800,273.48102,286.15,273.48102,274.75
65700,273.49005,286.15,273.49005,274.7531
66600,273.51773,286.15,273.51773,274.775
67500,273.55786,286.15,273.55786,274.8094
68400,273.60422,286.15,273.60422,274.85
69300,273.67358,286.15,273.67358,274.91376
70200,273.76868,286.15,273.76868,275.00333
71100,273.86212,286.15,273.86212,275.09125
72000,273.9265,286.15,273.9265,275.15
72900,273.92624,286.15,273.92624,275.1475
73800,273.87637,286.15,273.87637,275.1
74700,273.8255,286.15,273.8255,275.0525
75600,273.82224,286.15,273.82224,275.05
76500,273.86273,286.15,273.86273,275.08875
77400,273.91095,286.15,273.91095,275.135
78300,273.96695,286.15,273.96695,275.18875
79200,274.03076,286.15,274.03076,275.25
80100,274.09985,286.15,274.09985,275.31625
81000,274.17328,286.15,274.17328,275.38666
81900,274.25366,286.15,274.25366,275.46375
82800,274.3436,286.15,274.3436,275.55
83700,274.4609,286.15,274.4609,275.6625
84600,274.6043,286.15,274.6043,275.8
85500,274.74768,286.15,274.74768,275.9375
86400,274.865,286.15,274.865,276.05
87300,274.94977,286.15,274.94977,276.13126
88200,275.02158,286.15,275.02158,276.2
89100,275.0933,286.15,275.0933,276.26874
90000,275.17783,286.15,275.17783,276.35
90900,275.27808,286.15,275.27808,276.44626
91800,275.38464,286.15,275.38464,276.54834
92700,275.49207,286.15,275.49207,276.65125
93600,275.59494,286.15,275.59494,276.75
94500,275.69073,286.15,275.69073,276.8425
95400,275.77686,286.15,275.77686,276.92667
96300,275.8479,286.15,275.8479,276.9975
97200,275.8984,286.15,275.8984,277.05
98100,275.91153,286.15,275.91153,277.06787
99000,275.88467,286.15,275.88467,277.0476
99900,275.83392,286.15,275.83392,277.00357
100800,275.7753,286.15,275.7753,276.95
101700,275.69495,286.15,275.69495,276.873
102600,275.5922,286.15,275.5922,276.77322
103500,275.50278,286.15,275.50278,276.68683
104400,275.4624,286.15,275.4624,276.65
105300,275.4577,286.15,275.4577,276.65
106200,275.45218,286.15,275.45218,276.65
107100,275.44705,286.15,275.44705,276.65
108000,275.4435,286.15,275.4435,276.65
108900,275.44205,286.15,275.44205,276.65
109800,275.442,286.15,275.442,276.65
110700,275.4427,286.15,275.4427,276.65
111600,275.4435,286.15,275.4435,276.65
112500,275.45682,286.15,275.45682,276.6621
113400,275.48697,286.15,275.48697,276.6906
