Time,thermalZone.preTemRoof.T,thermalZone.preTemFloor.T,thermalZone.preTemWall.T,thermalZone.preTemWin.T
0,276.55295,286.15,276.55295,277.75
900,276.68362,286.15,276.68362,277.87936
1800,276.74966,286.15,276.74966,277.945
2700,276.71735,286.15,276.71735,277.91312
3600,276.55295,286.15,276.55295,277.75
4500,276.27487,286.15,276.27487,277.47485
5400,275.95197,286.15,275.95197,277.1563
6300,275.6261,286.15,275.6261,276.8346
7200,275.33923,286.15,275.33923,276.55
8100,275.06534,286.15,275.06534,276.27664
9000,274.78726,286.15,274.78726,275.9987
9900,274.55994,286.15,274.55994,275.7714
10800,274.43845,286.15,274.43845,275.65
11700,274.3885,286.15,274.3885,275.6
12600,274.3389,286.15,274.3389,275.55
13500,274.28928,286.15,274.28928,275.5
14400,274.23932,286.15,274.23932,275.45
15300,274.188,286.15,274.188,275.4
16200,274.1353,286.15,274.1353,275.35
17100,274.08252,286.15,274.08252,275.3
18000,274.03076,286.15,274.03076,275.25
18900,274.00864,286.15,274.00864,275.22656
19800,274.0234,286.15,274.0234,275.2375
20700,274.04443,286.15,274.04443,275.2547
21600,274.0402,286.15,274.0402,275.25
22500,274.013,286.15,274.013,275.225
23400,273.9836,286.15,273.9836,275.2
24300,273.95447,286.15,273.95447,275.175
25200,273.9265,286.15,273.9265,275.15
26100,273.90002,286.15,273.90002,275.125
27000,273.87415,286.15,273.87415,275.1
27900,273.8484,286.15,273.8484,275.075
28800,273.82224,286.15,273.82224,275.05
29700,273.72403,286.15,273.72403,274.95563
30600,273.5522,286.15,273.5522,274.79
31500,273.47433,286.15,273.44333,274.6544
32400,273.62042,286.15,273.5159,274.65
33300,273.96906,286.15,273.77646,274.80865
34200,274.38467,286.15,274.115,275.05307
35100,274.79037,286.15,274.46494,275.32092
36000,275.14703,286.15,274.77158,275.55
36900,275.45502,286.15,275.03128,275.7395
37800,275.75336,286.15,275.2829,275.9248
38700,275.92908,286.15,275.4499,276.0977
39600,275.95187,286.15,275.5242,276.25
40500,275.9023,286.15,275.5402,276.34122
41400,275.9002,286.15,275.55383,276.3706
42300,276.18716,286.15,275.73053,276.3897
43200,276.7792,286.15,276.1261,276.45
44100,277.50427,286.15,276.66895,276.60516
45000,278.0929,286.15,277.20316,276.82404
45900,278.5653,286.15,277.81,277.03088
46800,278.96866,286.15,278.3542,277.15
