Zeit,Temperatur_Jahr_normal,Temperatur_Jahr_warm,Temperatur_Jahr_kalt
0,-4.1,4.6,0.7
3600,-4.1,4.6,0.7
7200,-3.1,3.4,0.9
10800,-2.1,2.5,1.1
14400,-1.9,2.3,1.3
18000,-1.6,2.1,1.6
21600,-1.3,2.1,1.8
25200,-1.2,2,2.1
28800,-0.8,1.9,2.1
32400,-0.3,1.5,2.3
36000,0.2,2.4,2.9
39600,0.4,3.1,3.1
43200,0.9,3.3,3.3
46800,1.4,4,3.4
50400,1.7,3.9,3.7
54000,1.8,3.5,3.1
57600,1.9,3.1,3
61200,1.7,0.6,2.8
64800,1.6,-0.4,2.5
68400,1.7,-0.8,2.4
72000,2,-1.6,2.1
75600,1.9,-1.9,2
79200,2.1,-2.6,1.4
82800,2.4,-2.6,1.6
86400,2.9,-2.6,1.5
90000,3.2,-2.9,1.3
93600,3.6,-3.3,1.1
97200,3.9,-3.1,1
100800,3.8,-3.1,0.8
104400,3.5,-2.9,0.7
108000,3.5,-2.3,0.7
111600,3.5,-2,0.6
115200,3.6,-1.6,0.4
118800,3.6,-1.4,0.4
122400,3.9,-0.3,0.7
126000,3.8,0.1,1
129600,3.8,1.1,0.9
133200,3.7,2.5,1.1
136800,3.7,2.9,1.2
140400,3.8,2.9,0.5
144000,3.9,2.7,-0.2
147600,4.1,2.3,-1.3
151200,4.1,2.5,-1.7
154800,4.4,2.3,-1.9
158400,4.3,2.3,-1.9
162000,4,2.1,-1.9
165600,4,1.9,-1.8
169200,4.2,1.8,-1.5
172800,4.4,1.9,-2
176400,4.2,1.8,-1.5
180000,4.2,1.7,-2.3
183600,4.3,1.9,-2.2
187200,4.4,1.8,-1.6
190800,4.6,1.5,-1.6
194400,4.8,1,-1.4
198000,5,0.6,-1.8
201600,4.9,0.2,-1.5
205200,4.6,0.6,-1.4
208800,5,0.6,-1.7
212400,5.1,0.9,-2.1
216000,5.5,1,-1.9
219600,6,1.2,-1.7
223200,6.4,1.4,-1.2
226800,6.6,1.4,-1.3
230400,6.5,1.3,-1.3
234000,6.4,1,-1.9
237600,6.4,1,-3.1
241200,6.6,1,-4
244800,6.7,1,-4.4
248400,6.2,0.6,-4
252000,6.2,0.5,-3.5
255600,6.1,0.3,-3.2
259200,6.1,0.1,-2.6
262800,5.9,0,-2.2
266400,5.6,-0.2,-2.1
270000,5.6,-0.3,-2.5
273600,5.5,-0.3,-2.3
277200,5.8,-0.4,-2.1
280800,6,-0.3,-2
284400,5.7,-0.3,-1.8
288000,5.6,-0.2,-1.7
291600,5.8,0.1,-1.5
295200,5.7,0.5,-1.3
298800,5.7,1,-1
302400,5.7,1.2,-0.8
306000,5.9,1.1,-0.5
309600,5.9,1,-0.7
313200,5.8,0.9,-0.7
316800,5.5,0.9,-1.2
320400,5.3,0.7,-1.8
324000,5.4,0.5,-2.2
327600,5.1,0.5,-2.5
331200,4.8,0.1,-3.4
334800,4.6,0.2,-4
338400,4.9,0.5,-4.6
342000,5,0.6,-5.3
345600,5.2,0.7,-5.6
349200,5.5,0.8,-6.4
352800,6.3,0.6,-6.8
356400,6.5,0.5,-7.2
360000,6.6,0.7,-7.6
363600,6.3,0.7,-8
367200,5.5,0.7,-8.3
370800,4.7,0.6,-8.5
374400,4.4,0.9,-8.8
378000,4.2,0.6,-8.3
381600,3.8,0.7,-7
385200,4.2,0.8,-5.3
388800,5,0.6,-3.8
392400,5.2,0.5,-3.1
396000,5.5,0.6,-2.9
399600,5.5,0.6,-3.5
403200,4.9,0.3,-4
406800,3.5,-0.2,-4.5
410400,3.1,-0.3,-5.4
414000,1.7,-0.4,-5.9
417600,1.8,-0.5,-6.2
421200,1.2,-0.4,-6.4
424800,0.9,-0.4,-7
428400,0.1,-0.5,-7.2
432000,-0.2,-0.6,-7.3
435600,-0.4,-0.6,-6.7
439200,-0.6,-0.8,-6.1
442800,-1,-0.9,-5
446400,-1.3,-1,-3.9
450000,-1.1,-1.1,-2.7
453600,-1.3,-1.3,-2.4
457200,-1.2,-1.6,-1.8
460800,-1.6,-1.7,-1.4
464400,-1,-2.1,-1.3
468000,-0.5,-2.1,-0.7
471600,1.3,-1.9,-0.7
475200,2.7,-2,-0.1
478800,3.9,-2.1,0.3
482400,4.4,-2,1
486000,4.7,-1.7,1.5
489600,4.5,-1.3,1.6
493200,3.6,-0.9,1.8
496800,3.3,-0.8,1.7
500400,2.9,-0.5,1.7
504000,2.7,-0.5,2.1
507600,2.2,-0.5,2.8
511200,2.4,-0.4,2.7
514800,2.8,-0.6,3.2
518400,3.1,-0.8,3.5
522000,3.8,-1.1,3.4
525600,3.7,-1.3,4.3
529200,3.8,-1.6,5.4
532800,4,-1.9,5.8
536400,3.9,-2.1,6.5
540000,4.4,-2,6
543600,4.8,-1.8,4
547200,4.7,-1.7,3.2
550800,4.5,-1.6,3
554400,4.6,-1.5,2.9
558000,5.3,-1.2,3.3
561600,5.8,-1.1,3.7
565200,6.9,-1.5,3.9
568800,6.9,-1.4,3.7
572400,6.8,-1.9,3.3
576000,6.7,-2,3
579600,6.5,-1.9,3
583200,5.5,-1.5,2.9
586800,5.3,-1.4,3
590400,4.6,-2,3
594000,4,-2.8,2.8
597600,3.7,-3.3,3.1
601200,3.7,-3.9,2.9
604800,3,-4.5,3.3
608400,2.7,-5,3.5
612000,2.1,-5.3,3.8
615600,1.9,-5.3,3.8
619200,1.8,-5.8,4.3
622800,1.5,-5.6,4.8
626400,1.4,-5.4,4.1
630000,1,-5.7,3.5
633600,1.1,-5.9,3.6
637200,1.3,-5.9,3.3
640800,1.7,-5.6,5
644400,2.7,-5.3,5.8
648000,3.9,-5.4,6.4
651600,5.2,-5,7.3
655200,5.4,-4.2,8
658800,5.7,-3.7,8
662400,5.8,-4,7.6
666000,5.8,-4.5,7.5
669600,5.6,-5,7.8
673200,5.6,-5,7.8
676800,5.5,-5.3,7.4
680400,5.6,-5.7,7.3
684000,5.5,-6,8
687600,5.6,-6.3,8.2
691200,5.4,-6.7,8.1
694800,5.2,-7.1,7.6
698400,5.3,-7.5,6.9
702000,4.9,-8,6.3
705600,4.8,-8.2,7
709200,4.7,-8.3,6.8
712800,4.6,-8.8,6.8
716400,4.7,-8.9,7.5
720000,4.8,-9,8.1
723600,5,-9.1,7.1
727200,5.1,-8.1,7.7
730800,5.3,-6.3,7.9
734400,5.5,-5,6.6
738000,5.6,-3.1,6
741600,5.5,-2.8,5.2
745200,5.4,-2.3,4.4
748800,5.1,-2.8,4.1
752400,4.7,-3.7,3.8
756000,4.5,-4.5,3.3
759600,4.1,-5.1,3
763200,3.7,-5.5,2.8
766800,3.6,-5.8,2.6
770400,3.9,-6.2,1.6
774000,3.6,-6.6,1.3
777600,3.6,-6.9,1.6
781200,3.5,-7,1.5
784800,3.3,-7.3,2
788400,3,-7.3,2.1
792000,1.8,-7.4,2.1
795600,1.2,-7.6,2.2
799200,1,-7.2,2.1
802800,0.4,-6.6,1
806400,0.4,-6.5,-0.4
810000,0.6,-6.1,-0.8
813600,1.1,-5.5,1.2
817200,1.8,-3.6,2.9
820800,2.4,-2.5,4.4
824400,2.8,-1.3,4
828000,2.8,-1.3,5
831600,3.2,-1,4
835200,3.1,-1.7,2.9
838800,2.8,-2.3,0.6
842400,2.7,-2.7,-0.8
846000,2.5,-3.4,-0.7
849600,1.9,-3.7,-1.6
853200,1.9,-4,-1.2
856800,1.8,-4.3,-2.4
860400,1.8,-4.8,-2.6
864000,1.7,-5,-2.5
867600,1.6,-4.9,-2.6
871200,1.5,-5,-2.8
874800,1.4,-5.1,-2.8
878400,1.1,-5.2,-2.8
882000,0.5,-5.2,-2.3
885600,-0.1,-5.4,-2.4
889200,0,-5.4,-1.6
892800,-0.1,-5.5,-0.7
896400,0.1,-5.3,-0.4
900000,0.4,-3.9,-0.1
903600,0.7,-1.6,0.5
907200,1.2,0.4,1.2
910800,2,1.8,1.3
914400,2.6,2.4,1.5
918000,2.7,3,1.9
921600,2.1,2.1,2.3
925200,1.4,1.3,2.1
928800,0,0.7,2.1
932400,-1.1,1.1,1.8
936000,-1.9,1.5,1.8
939600,-2.1,1.8,1.9
943200,-2.4,2.1,2.2
946800,-2.4,1.4,2.1
950400,-2.3,1.2,2.5
954000,-2.1,1.5,3
957600,-1.9,1.6,3.2
961200,-1.9,1.8,3.4
964800,-2,2,3.8
968400,-2.1,2,3.5
972000,-2.3,1.9,3.9
975600,-2.9,2,3.8
979200,-3.2,2,3.3
982800,-3.1,1.9,3
986400,-2.5,2.2,3.2
