Zeit,winSpe_normal,winSpe_warm,winSpe_kalt
0,2.8,5.3,7
3600,2.8,5.3,7
7200,2.2,4.7,7.7
10800,1.6,4.3,6.9
14400,1.6,4.2,7.4
18000,1.9,4.1,8.2
21600,2,4.5,8.8
25200,3,3.9,8.5
28800,3.1,3.7,8.8
32400,2.4,3.1,8.7
36000,3,3.3,8.8
39600,2.9,2.9,7.8
43200,2.8,3.1,9.4
46800,3.1,3,8.4
50400,3,3.1,8.7
54000,2.5,2.8,8.2
57600,3.3,2.5,7.4
61200,3.3,2.3,6.5
64800,3.1,2.6,6.2
68400,3.4,2.5,5.8
72000,3.2,2.8,4.9
75600,3,2.5,4.8
79200,2.8,2.5,5.2
82800,2.4,1.9,5.9
86400,2.9,1.2,5.8
90000,3.5,1.4,6.6
93600,3.8,1.5,5.8
97200,4.5,1,5.7
100800,5.2,1.3,5.9
104400,4.6,1.7,5.4
108000,4,1.3,4.6
111600,3.5,0.5,4.7
115200,3.5,1.9,5.8
118800,4.1,1.4,6.1
122400,3.6,1.2,5
126000,4.5,0.5,5.2
129600,4.9,1.6,6.4
133200,4.6,2,5.3
136800,6.6,1.7,6.3
140400,5,2.4,6.9
144000,4.2,2.3,5
147600,3.8,2.4,3.7
151200,3.4,2.1,3.2
154800,4.4,2.9,3.4
158400,5.5,2.4,3.7
162000,5.4,2.9,3.9
165600,4.5,2.4,3.7
169200,4.3,2.8,3.8
172800,4.3,2.9,3.2
176400,3.4,2.2,3.8
180000,4,2.8,3.2
183600,3.8,2.9,3.2
187200,4.4,3.6,4.3
190800,5.1,3.1,4.6
194400,4.8,3.2,4.7
198000,4.6,3.6,3
201600,4.8,3.2,4
205200,4.8,3.4,3.5
208800,4.3,3.2,4.3
212400,5.2,3.2,5.1
216000,5.3,3.3,4.5
219600,5.3,3.2,5
223200,5.2,3.5,4.4
226800,5.2,3.1,4.7
230400,5.4,3.2,2.9
234000,5.9,3.7,3.2
237600,5.9,3.5,2.5
241200,5.5,3.5,2.2
244800,4.9,3.5,2.4
248400,5.3,3.7,3
252000,5.5,3.5,3
255600,6.2,3.2,3.1
259200,6.1,3.4,3.6
262800,5.6,3.3,3.2
266400,6,2.9,2.2
270000,6.6,2.9,2.8
273600,6.3,2.8,2.6
277200,6,3.1,2.6
280800,6.3,2.8,3.1
284400,6.2,2.9,3.2
288000,5.7,2.4,2.9
291600,4.7,2.8,2.8
295200,3.6,3.5,2.8
298800,4.3,3.6,3
302400,4,3.6,3.3
306000,3.3,5.2,3.6
309600,3.4,4.5,3.9
313200,3.2,4.5,3.6
316800,3.1,3.9,3.3
320400,3.3,4.4,3.3
324000,3.6,4.6,3.3
327600,4.8,4.9,3
331200,4.1,3.9,3.4
334800,4.4,3.4,3.6
338400,5,3.4,3.6
342000,5.2,4.2,3.5
345600,5,3.3,3.2
349200,6.6,4.4,3.4
352800,6.9,4.7,3.8
356400,7.1,5.3,3.8
360000,8.3,5.5,3.7
363600,9.2,5.7,3.9
367200,9.4,5.8,3.3
370800,8.3,6.5,3.5
374400,8.2,6.2,3.7
378000,8.1,6.4,3.6
381600,7.5,6.1,4.5
385200,7.5,6.1,4.9
388800,8,6.9,4.4
392400,7.5,6.4,4.7
396000,7.1,6,5.4
399600,5.5,7.2,4.9
403200,4.6,6.6,4.4
406800,4,6,4.7
410400,3,6.5,5
414000,3.1,5.8,4.7
417600,3,6.3,5.2
421200,2.6,5.7,5
424800,2.9,5.7,5.1
428400,2.4,6.8,4.7
432000,2.2,5.7,4.9
435600,3,6.5,5.3
439200,2.5,5.8,5.1
442800,3,6.6,5.9
446400,3.9,6.5,6
450000,2.5,6.7,6
453600,2.8,6.4,6.1
457200,4,5.4,6.5
460800,4,6.3,6.5
464400,3.5,6.1,6.5
468000,4.4,5.6,6.5
471600,3.7,6.2,6.3
475200,4.1,6.6,5.8
478800,5.8,6,5.2
482400,5.5,6.4,4.6
486000,4.8,5.2,4.1
489600,4.6,6.1,4.5
493200,4.5,5.2,4.3
496800,4.5,5.2,4.7
500400,5.7,4.4,5.1
504000,3.9,4.5,5.5
507600,4.6,4.6,5.7
511200,4.8,4.9,5.3
514800,4.3,5.4,6.3
518400,3.8,5.1,6.2
522000,4.1,5,5.9
525600,4,5.1,5.9
529200,3.8,4.8,7.4
532800,4.1,5.5,6.9
536400,4.2,5.5,7
540000,3.9,5.1,7.7
543600,3.4,5.1,5.7
547200,3.3,4.8,4.3
550800,3.4,5.1,3.6
554400,3.2,5.1,2.7
558000,3.1,5.6,2.1
561600,3.4,5.1,1.6
565200,3.2,5.6,1.1
568800,3.5,5.8,2.6
572400,2.5,6,3.5
576000,2.5,6,3.6
579600,2.9,5.2,3.8
583200,3.9,5.7,3.7
586800,4.2,5,4.6
590400,4.2,5.5,4.1
594000,4.1,4.7,4
597600,4.2,4.8,3.8
601200,4.1,5.2,3.4
604800,3.7,4.4,3.1
608400,4.1,4.8,3.1
612000,3.6,4.9,3.1
615600,3.5,4.9,3.5
619200,4.3,3.7,3.9
622800,3.7,4.7,3.9
626400,4,4.2,3.1
630000,4.2,4.7,3.5
633600,4.8,3.8,3.9
637200,4,4.8,2.5
640800,4.4,4.4,3.7
644400,4.9,3.4,3.8
648000,5.4,4.2,4.5
651600,6.1,3.3,4.4
655200,6.1,3.6,4.6
658800,4.6,3.5,5.2
662400,4.3,3.5,5.1
666000,3.7,3.8,5.7
669600,4,4.7,5.4
673200,4.1,4.3,5.7
676800,3.8,4.2,5.7
680400,3.4,3.9,5.4
684000,3.4,3.5,6.2
687600,3.1,3.8,5.9
691200,3.2,3.5,5.4
694800,3.1,2.6,4.5
698400,3.1,3.6,4.5
702000,2.3,3.2,4.5
705600,2.3,3.6,4.6
709200,1.8,3.4,4.8
712800,2.4,3.8,4.8
716400,2.3,4.7,5.7
720000,2.3,3.8,4.8
723600,2.4,3.5,4.8
727200,2.3,2.8,5
730800,2.8,3.4,4.7
734400,2.7,3.2,4.7
738000,2.9,3.4,4.3
741600,3.2,3.1,5.1
745200,3,3.4,3.1
748800,3,4.2,3
752400,3.2,3.3,3.1
756000,3.5,3.6,3.1
759600,3.8,3.9,2.9
763200,2.9,3.9,3.2
766800,2.5,4.2,3.3
770400,2.4,4,3.3
774000,3.2,3.7,3.3
777600,3.1,3.4,3.7
781200,3.9,3.1,3.2
784800,3.1,3.5,3
788400,2.7,3.5,3.3
792000,3.2,2.9,3.6
795600,2.8,3,3.2
799200,3.5,3.7,2.8
802800,3.3,3.7,3.1
806400,3.9,3.7,3.2
810000,3.4,4.3,3.5
813600,2.6,4.5,3.5
817200,2.9,4.1,3.1
820800,3.4,4.5,3.4
824400,3.9,4.3,3.4
828000,2.9,3.4,2.9
831600,3,3.6,2.8
835200,2.3,4,2.4
838800,2.3,3.7,2.3
842400,2.4,3.6,3.2
846000,2.4,3.4,3.1
849600,2.8,3.7,3.1
853200,2.3,3.8,2.8
856800,2.4,4.1,3
860400,2.9,4,3.6
864000,2.7,4.1,3.4
867600,2.7,4.1,3.7
871200,3.4,3.9,3.7
874800,3.5,3.8,3.9
878400,4,4.3,3.7
882000,4.2,4.5,3.7
885600,4.5,4.8,3.8
889200,3.4,4.3,3.6
892800,4.1,4.3,3.6
896400,4.2,4.2,3.6
900000,4.8,4.1,3.7
903600,3.8,4.4,3.6
907200,4.1,4.6,4
910800,4.1,4.4,3.8
914400,3.9,5,3.7
918000,3.1,5.3,4.1
921600,3.1,5.8,4.1
925200,3.7,5.6,4.4
928800,3.6,5.5,4
932400,3.1,5.2,5.6
936000,3.1,5,4.6
939600,3,4.9,4.3
943200,3.1,3.9,4.2
946800,3.2,3.9,3.8
950400,2.9,3.9,3.7
954000,3.7,3.9,3.9
957600,3.5,3.6,5.2
961200,3.4,3,5.2
964800,3.2,3.2,5.3
968400,2.7,2.7,4.9
972000,2.1,2,5.7
975600,2.4,2.3,6.4
979200,2.9,1.8,6.3
982800,2.2,1.6,6.3
986400,3.7,1.7,6.2
990000,2.9,1.9,7
993600,3.7,1.9,6.2
997200,4.2,2,6.4
1000800,4.7,1.7,6.1
1004400,5.7,1.5,5.8
1008000,4.3,1.3,4.7
1011600,4.2,0.8,3.9
1015200,3.9,1.6,3.8
1018800,4.1,1.6,4
1022400,2.9,2.2,4
1026000,2.7,2.3,4.1
1029600,3.9,2.8,3.6
1033200,3.7,2.9,4.3
1036800,2.9,2.5,4
1040400,3.8,3.4,3.5
1044000,2.9,2.9,3.5
1047600,3.1,3.4,3
1051200,3.9,3.2,2.9
1054800,2.7,3.7,2.9
1058400,3.4,4,2.8
1062000,4,4.6,3.1
1065600,3.7,4.2,2.9
1069200,3.2,4.7,2.9
1072800,4.3,4.3,2.7
1076400,4.2,4.7,2.6
1080000,4.6,5.1,2.7
1083600,5.3,4.7,2.7
1087200,4.7,5.7,1.8
1090800,5.7,4.6,1.2
1094400,5.3,4.7,2.1
1098000,2.9,5.1,2.6
1101600,3.7,5.6,3.1
1105200,3.6,5.2,3.2
1108800,3.7,5.9,3.8
1112400,3.4,5.2,3.6
1116000,3.9,5.4,3.7
1119600,3.2,5.5,4.3
1123200,3.2,4.7,5.3
1126800,2.9,4.8,5.2
1130400,2.3,4.9,5.3
1134000,2.5,4.9,5.4
1137600,2.9,4.3,5
1141200,2.5,4.4,4.3
1144800,2.9,5.2,3.9
1148400,3.6,5.3,3.7
1152000,2.5,4.5,4.1
1155600,2.6,3.9,3.7
1159200,2.9,3.9,3.8
1162800,2.5,3.6,3.9
1166400,2.9,4.2,3.6
1170000,3.5,4,3.3
1173600,2.7,3.5,4.3
1177200,2.8,3.7,4.8
1180800,2.8,3.5,5.8
1184400,2.6,3.1,5.8
1188000,1.9,3.7,5.3
1191600,1.2,3.8,5.7
1195200,1.3,3.4,5.5
1198800,1.4,4.1,5.5
1202400,1.3,3.5,5.7
1206000,1,3.8,6.2
1209600,1,3.6,6.4
1213200,1.9,3.8,5.9
1216800,1.7,4.2,6.2
1220400,1.2,4.4,6.8
1224000,2.1,4.1,6.7
1227600,2,4.1,6.1
1231200,1.8,4.2,6.6
1234800,2.2,4.3,6.6
1238400,3.4,4.1,6.3
1242000,3.2,4.2,5.8
1245600,2.9,4.5,5.2
1249200,3,4.6,6.3
1252800,3.6,4.6,7.1
1256400,3.8,4.8,6.6
1260000,2.9,5.2,5.9
1263600,2.5,4.7,4.6
1267200,3.1,3.7,3.5
1270800,2.8,3.8,2.4
1274400,3.3,4.6,2.8
