Time,QHeatTotal
0,0.0
3600,3833.6538
7200,4533.2114
10800,5110.1543
14400,5402.1343
18000,5598.1064
21600,5547.526
25200,4625.5586
28800,6930.3623
32400,6930.3623
36000,6930.3623
39600,6930.3623
43200,6930.3623
46800,6930.3623
50400,6930.3623
54000,6643.4824
57600,6425.1304
61200,6794.0303
64800,6930.3623
68400,6930.3623
72000,6930.3623
75600,6930.3623
79200,3823.3982
82800,2728.105
86400,2864.2454
90000,2998.0715
93600,3121.9863
97200,3160.7893
100800,3190.2346
104400,3203.774
108000,3157.1611
111600,2406.6548
115200,6407.3604
118800,6930.3623
122400,6749.261
126000,6401.602
129600,6267.464
133200,6071.2417
136800,5875.2354
140400,5638.253
144000,5506.043
147600,5463.0386
151200,5478.4976
154800,5854.2383
158400,5928.6587
162000,5943.812
165600,1447.5779
169200,417.66235
172800,639.07837
176400,828.92145
180000,984.22284
183600,1107.5793
187200,1233.7152
190800,1373.4618
194400,1521.5986
198000,1083.5228
201600,5372.216
205200,6338.4507
208800,6088.148
212400,5915.019
216000,5738.4277
219600,5649.7275
223200,5556.9946
226800,5389.011
230400,5285.726
234000,5203.5776
237600,5193.0615
241200,5579.028
244800,5679.8047
248400,5735.8423
252000,1259.0276
255600,278.207
259200,560.2929
262800,789.7922
266400,984.7624
270000,1164.48
273600,1323.766
277200,1476.7667
280800,1610.9219
284400,1162.6808
288000,5436.4224
291600,6403.146
295200,6168.8135
298800,5949.5547
302400,5743.958
306000,5634.406
309600,5416.017
313200,5336.18
316800,5279.531
320400,5198.1313
324000,5203.3613
327600,5596.712
331200,5727.7725
334800,5768.493
338400,1255.5056
342000,246.51805
345600,501.2385
349200,707.6971
352800,892.8292
356400,1069.9194
360000,1211.042
363600,1349.3119
367200,1483.1528
370800,1043.7698
374400,5305.047
378000,6306.69
381600,6079.389
385200,5893.389
388800,5760.224
392400,5699.0645
396000,5615.7075
399600,5448.7075
403200,5355.8643
406800,5295.1484
410400,5305.9185
414000,5704.1216
417600,5819.39
421200,5855.093
424800,1366.1931
428400,379.85553
432000,654.73346
435600,876.29895
439200,1070.5541
442800,1251.9294
446400,1420.4535
450000,1579.222
453600,1734.555
457200,1892.1328
460800,6216.6016
464400,6852.104
468000,6481.1353
471600,6271.5425
475200,6140.141
478800,6118.612
482400,6038.524
486000,5835.8516
489600,5693.7964
493200,5577.171
496800,5560.6045
500400,5486.3965
504000,5399.7837
507600,5850.9575
511200,1437.4679
514800,437.91144
518400,785.388
522000,1049.5941
525600,1246.9764
529200,1437.5671
532800,1620.9622
536400,1790.8853
540000,1929.9689
543600,2044.6084
547200,6340.163
550800,6900.842
554400,6553.8906
558000,6338.5435
561600,6176.099
565200,6142.395
568800,6057.4272
572400,5899.7417
576000,5796.9053
579600,5712.07
583200,5692.4985
586800,5626.2085
590400,5582.529
594000,6105.619
597600,1762.4102
601200,818.7904
604800,1240.2191
608400,1562.6748
612000,1802.2568
615600,2002.4037
619200,2218.5327
622800,2381.9832
626400,2519.5679
630000,2074.8909
633600,6347.479
637200,6930.3623
640800,6930.3623
644400,6884.325
648000,6745.024
651600,6625.57
655200,6201.0303
658800,5836.969
662400,6013.0615
666000,6034.696
669600,6126.198
673200,6562.092
676800,6716.758
680400,6815.513
684000,2412.0457
687600,1482.4346
691200,1809.4889
694800,2093.9443
698400,2338.523
702000,2577.7488
705600,2790.9768
709200,2979.3494
712800,3183.5
716400,2746.3655
720000,6930.3623
723600,6930.3623
727200,6930.3623
730800,6635.2075
734400,6305.925
738000,6042.793
741600,5726.8003
745200,5436.9214
748800,5814.9995
752400,5845.7583
756000,5968.7124
759600,6461.6094
763200,6644.078
766800,6745.3423
770400,2359.3652
774000,1448.2056
777600,1781.2775
781200,2049.323
784800,2286.1555
788400,2493.8838
792000,2686.7283
795600,2880.0488
799200,3030.3486
802800,2528.5068
806400,6770.0645
810000,6930.3623
813600,6792.6206
817200,6422.281
820800,6109.828
824400,5868.25
828000,5767.367
831600,5676.6284
835200,5770.61
838800,5773.255
842400,5840.6724
846000,6310.725
849600,6472.8315
853200,6560.2715
856800,2145.4937
860400,1222.3594
864000,1541.9142
867600,1780.6736
871200,1987.3489
874800,2181.9373
878400,2363.0889
882000,2527.8594
885600,2694.1665
889200,2244.5007
892800,6506.717
896400,6930.3623
900000,6449.346
903600,5971.8936
907200,5570.4775
910800,5281.0825
914400,4974.383
918000,4813.2886
921600,5056.7734
925200,5076.7646
928800,5141.06
932400,5532.564
936000,5620.6055
939600,5642.339
943200,1126.2424
946800,167.26488
950400,470.70547
954000,672.58026
957600,839.92114
961200,989.9344
964800,1125.8287
968400,1261.5137
972000,1401.5067
975600,955.402
979200,5239.08
982800,6173.883
986400,5663.94
990000,5440.035
993600,5103.7324
997200,4929.1636
1000800,4662.9014
1004400,4722.912
1008000,4732.1987
1011600,4676.8564
1015200,4668.7563
1018800,5101.51
1022400,5266.874
1026000,5320.1045
1029600,851.4896
1033200
1036800,197.73811
1040400,448.68777
1044000,669.47516
1047600,863.5086
1051200,1062.2441
1054800,1235.2319
1058400,1413.0205
1062000,1597.3467
1065600,5947.7344
1069200,6562.8237
1072800,6098.912
1076400,5920.1055
1080000,5799.8687
1083600,5788.1353
1087200,5692.74
1090800,5493.5923
1094400,5400.463
1098000,5379.259
1101600,5464.7026
1105200,5457.391
1108800,5392.663
1112400,5858.4365
1116000,1462.5812
1119600,483.79407
1123200,886.7494
1126800,1182.3948
1130400,1353.67
1134000,1520.718
