Time,QCoolTotal,QHeatTotal,weaDat.weaBus.TDryBul,weaDat.weaBus.HGloHor
0,0,0,273.85,0
3600,0,7606.9688,273.85,0
7200,0,10000,274.05,0
10800,0,10000,274.25,0
14400,0,10000,274.45,0
18000,0,10000,274.75,0
21600,0,10000,274.95,0
25200,0,9228.8,275.25,0
28800,0,10000,275.25,0.08928572
32400,0,10000,275.45,16.593407
36000,0,10000,276.05,43.465744
39600,0,10000,276.25,69.28338
43200,0,10000,276.45,59.8623
46800,0,10000,276.55,35.650883
50400,0,10000,276.85,30.071304
54000,0,10000,276.25,14.014946
57600,0,10000,276.15,0.96875
61200,0,10000,275.95,0
64800,0,10000,275.65,0
68400,0,10000,275.55,0
72000,0,10000,275.25,0
75600,0,10000,275.15,0
79200,0,7307.284,274.55,0
82800,0,2995.3574,274.75,0
86400,0,2152.2659,274.65,0
90000,0,2260.1433,274.45,0
93600,0,2505.1587,274.25,0
97200,0,2742.8538,274.15,0
100800,0,2959.1519,273.95,0
104400,0,3149.6587,273.85,0
108000,0,3279.195,273.85,0
111600,0,2015.6653,273.75,0
115200,0,7747.8813,273.55,1.3257576
118800,0,10000,273.55,21.526806
122400,0,10000,273.85,43.545586
126000,0,10000,274.15,42.82804
129600,0,10000,274.05,48.494106
133200,0,10000,274.25,90.36304
136800,0,9988.022,274.35,116.51064
140400,0,9148.08,273.65,53.78769
144000,0,9067.06,272.95,4.6183333
147600,0,9176.46,271.85,0
151200,0,9459.327,271.45,0
154800,0,10000,271.25,0
158400,0,10000,271.25,0
162000,0,10000,271.25,0
165600,0,3076.6252,271.35,0
169200,0,0,271.65,0
172800,0,0,271.15,0
176400,0,0,271.65,0
180000,0,0,270.85,0
183600,0,0,270.95,0
187200,0,0,271.55,0
190800,0,0,271.55,0
194400,0,0,271.75,0
198000,0,0,271.35,0
201600,0,4179.501,271.65,2.1818182
205200,0,8899.912,271.75,25.106644
208800,0,9450.072,271.45,50.21154
212400,0,9230.945,271.05,51.714287
216000,0,8828.7705,271.25,52.484245
219600,0,8514.213,271.45,54.77647
223200,0,8175.0054,271.95,51.81304
226800,0,7666.254,271.85,23.480896
230400,0,7305.067,271.85,1.2310606
234000,0,7063.9634,271.25,0
237600,0,7122.939,270.05,0
241200,0,8086.797,269.15,0
244800,0,8943.608,268.75,0
248400,0,9178.82,269.15,0
252000,0,1764.8693,269.65,0
255600,0,0,269.95,0
259200,0,0,270.55,0
262800,0,0,270.95,0
266400,0,0,271.05,0
270000,0,0,270.65,0
273600,0,0,270.85,0
277200,0,0,271.05,0
280800,0,0,271.15,0
284400,0,0,271.35,0
288000,0,3639.4902,271.45,4.56
291600,0,8014.2446,271.65,62.547596
295200,0,7672.8506,271.85,89.53303
298800,0,7698.381,272.15,67.65938
302400,0,7472.2974,272.35,61.364475
306000,0,7219.349,272.65,62.710526
309600,0,7014.375,272.45,46.42442
313200,0,6670.9634,272.45,18.122456
316800,0,6388.885,271.95,0.078125
320400,0,6239.1396,271.35,0
324000,0,6274.373,270.95,0
327600,0,7138.5957,270.65,0
331200,0,7989.4287,269.75,0
334800,0,8386.438,269.15,0
338400,0,1227.1853,268.55,0
342000,0,0,267.85,0
345600,0,0,267.55,0
349200,0,0,266.75,0
352800,0,0,266.35,0
356400,0,0,265.95,0
360000,0,0,265.55,0
363600,0,0,265.15,0
367200,0,0,264.85,0
370800,0,0,264.65,0
