Electricity for Car Charging.Timestep;Time;Sum [kWh]
0;01.01.2021 00:00;0
15;01.01.2021 00:15;0
30;01.01.2021 00:30;0
45;01.01.2021 00:45;0
60;01.01.2021 01:00;0
75;01.01.2021 01:15;0
90;01.01.2021 01:30;0
105;01.01.2021 01:45;0
120;01.01.2021 02:00;0
135;01.01.2021 02:15;0
150;01.01.2021 02:30;0
165;01.01.2021 02:45;0
180;01.01.2021 03:00;0
195;01.01.2021 03:15;0
210;01.01.2021 03:30;0
225;01.01.2021 03:45;0
240;01.01.2021 04:00;0
255;01.01.2021 04:15;0
270;01.01.2021 04:30;0
285;01.01.2021 04:45;0
300;01.01.2021 05:00;0
315;01.01.2021 05:15;0
330;01.01.2021 05:30;0
345;01.01.2021 05:45;0
360;01.01.2021 06:00;0
375;01.01.2021 06:15;0
390;01.01.2021 06:30;0
405;01.01.2021 06:45;0
420;01.01.2021 07:00;0
435;01.01.2021 07:15;0
450;01.01.2021 07:30;0
465;01.01.2021 07:45;0
480;01.01.2021 08:00;0
495;01.01.2021 08:15;0
510;01.01.2021 08:30;0
525;01.01.2021 08:45;0
540;01.01.2021 09:00;0
555;01.01.2021 09:15;0
570;01.01.2021 09:30;0
585;01.01.2021 09:45;0
600;01.01.2021 10:00;0
615;01.01.2021 10:15;0
630;01.01.2021 10:30;0
645;01.01.2021 10:45;0
660;01.01.2021 11:00;0
675;01.01.2021 11:15;0
690;01.01.2021 11:30;0
705;01.01.2021 11:45;0
720;01.01.2021 12:00;0
735;01.01.2021 12:15;0
750;01.01.2021 12:30;0
765;01.01.2021 12:45;0
780;01.01.2021 13:00;0
795;01.01.2021 13:15;0
810;01.01.2021 13:30;0
825;01.01.2021 13:45;0
840;01.01.2021 14:00;0
855;01.01.2021 14:15;0
870;01.01.2021 14:30;0
885;01.01.2021 14:45;0
900;01.01.2021 15:00;0
915;01.01.2021 15:15;0
930;01.01.2021 15:30;0
945;01.01.2021 15:45;0
960;01.01.2021 16:00;0
975;01.01.2021 16:15;0
990;01.01.2021 16:30;0
1005;01.01.2021 16:45;0
1020;01.01.2021 17:00;0
1035;01.01.2021 17:15;0
1050;01.01.2021 17:30;0.246666667
1065;01.01.2021 17:45;0.925
1080;01.01.2021 18:00;0.925
1095;01.01.2021 18:15;0.925
1110;01.01.2021 18:30;0.925
1125;01.01.2021 18:45;0.74
1140;01.01.2021 19:00;0
1155;01.01.2021 19:15;0
1170;01.01.2021 19:30;0
1185;01.01.2021 19:45;0
1200;01.01.2021 20:00;0
1215;01.01.2021 20:15;0
1230;01.01.2021 20:30;0
1245;01.01.2021 20:45;0
1260;01.01.2021 21:00;0
1275;01.01.2021 21:15;0
1290;01.01.2021 21:30;0
1305;01.01.2021 21:45;0
1320;01.01.2021 22:00;0
1335;01.01.2021 22:15;0
1350;01.01.2021 22:30;0
1365;01.01.2021 22:45;0
1380;01.01.2021 23:00;0
1395;01.01.2021 23:15;0
1410;01.01.2021 23:30;0
1425;01.01.2021 23:45;0
1440;02.01.2021 00:00;0
1455;02.01.2021 00:15;0
1470;02.01.2021 00:30;0
1485;02.01.2021 00:45;0
1500;02.01.2021 01:00;0
1515;02.01.2021 01:15;0
1530;02.01.2021 01:30;0
1545;02.01.2021 01:45;0
1560;02.01.2021 02:00;0
1575;02.01.2021 02:15;0
1590;02.01.2021 02:30;0
1605;02.01.2021 02:45;0
1620;02.01.2021 03:00;0
1635;02.01.2021 03:15;0
1650;02.01.2021 03:30;0
1665;02.01.2021 03:45;0
1680;02.01.2021 04:00;0
1695;02.01.2021 04:15;0
1710;02.01.2021 04:30;0
1725;02.01.2021 04:45;0
1740;02.01.2021 05:00;0
1755;02.01.2021 05:15;0
1770;02.01.2021 05:30;0
1785;02.01.2021 05:45;0
1800;02.01.2021 06:00;0
1815;02.01.2021 06:15;0
1830;02.01.2021 06:30;0
1845;02.01.2021 06:45;0
1860;02.01.2021 07:00;0
1875;02.01.2021 07:15;0
1890;02.01.2021 07:30;0
1905;02.01.2021 07:45;0
1920;02.01.2021 08:00;0
1935;02.01.2021 08:15;0
1950;02.01.2021 08:30;0
1965;02.01.2021 08:45;0
1980;02.01.2021 09:00;0
1995;02.01.2021 09:15;0
2010;02.01.2021 09:30;0
2025;02.01.2021 09:45;0
2040;02.01.2021 10:00;0
2055;02.01.2021 10:15;0
2070;02.01.2021 10:30;0
2085;02.01.2021 10:45;0
2100;02.01.2021 11:00;0
2115;02.01.2021 11:15;0
2130;02.01.2021 11:30;0
2145;02.01.2021 11:45;0
2160;02.01.2021 12:00;0
2175;02.01.2021 12:15;0
2190;02.01.2021 12:30;0
2205;02.01.2021 12:45;0
2220;02.01.2021 13:00;0
2235;02.01.2021 13:15;0
2250;02.01.2021 13:30;0
2265;02.01.2021 13:45;0
2280;02.01.2021 14:00;0
2295;02.01.2021 14:15;0
2310;02.01.2021 14:30;0
2325;02.01.2021 14:45;0
2340;02.01.2021 15:00;0
2355;02.01.2021 15:15;0
2370;02.01.2021 15:30;0
2385;02.01.2021 15:45;0
2400;02.01.2021 16:00;0.246666667
2415;02.01.2021 16:15;0.925
2430;02.01.2021 16:30;0.925
2445;02.01.2021 16:45;0.308333333
