Electricity.Timestep;Sum [kWh]
0;0.015194083
15;0.015296764
30;0.015051128
45;0.015134099
60;0.014885889
75;0.015394817
90;0.015173523
105;0.015512211
120;0.015898429
135;0.015746397
150;0.016060795
165;0.025416935
180;0.051440545
195;0.055496727
210;0.054438321
225;0.03430632
240;0.024054768
255;0.015366105
270;0.015246292
285;0.015421802
300;0.015117723
315;0.015166726
330;0.015182984
345;0.015522032
360;0.015413969
375;0.049309918
390;0.088221116
405;0.50985153
420;0.503071528
435;0.247727304
450;0.427564291
465;0.539726316
480;0.446764677
495;0.080232481
510;0.631657284
525;0.434713745
540;0.211016696
555;0.592948568
570;0.222400972
585;0.09918204
600;0.103419322
615;0.056026241
630;0.04500333
645;0.04232411
660;0.147753989
675;0.643996195
690;1.031430175
705;1.356586471
720;1.052637072
735;0.556953584
750;0.561110481
765;0.58709681
780;0.15119814
795;0.063122616
810;0.448203493
825;0.523934976
840;0.506503454
855;0.365499326
870;0.015369186
885;0.017234618
900;0.037089016
915;0.036543685
930;0.035312666
945;0.034144099
960;0.067768911
975;0.076619152
990;0.075919649
1005;0.083056626
1020;0.079762862
1035;0.099746626
1050;0.121029354
1065;0.120117619
1080;0.100585667
1095;0.085516367
1110;0.107397554
1125;0.210832097
1140;0.366668017
1155;0.378101724
1170;0.363331676
1185;0.204478025
1200;0.103942338
1215;0.078078617
1230;0.05603475
1245;0.056165244
1260;0.065860273
1275;0.168784036
1290;0.120323024
1305;0.11328005
1320;0.07404299
1335;0.102052864
1350;0.104998581
1365;0.071361899
1380;0.054642425
1395;0.025415172
1410;0.015495734
1425;0.01518013
1440;0.015186491
1455;0.015078592
1470;0.015338324
1485;0.015356759
1500;0.015391682
1515;0.015315833
1530;0.015160565
1545;0.015289195
1560;0.015381915
1575;0.015149039
1590;0.015291178
1605;0.014723871
1620;0.024295342
1635;0.0325647
1650;0.031425355
1665;0.054088338
1680;0.041692332
1695;0.038191407
1710;0.036211688
1725;0.015895735
1740;0.015412943
1755;0.015612895
1770;0.015699524
1785;0.314025521
1800;0.476364618
1815;0.33925503
1830;0.072545912
1845;0.040174114
1860;0.087764283
1875;0.098339681
1890;0.354902157
1905;0.562915978
1920;0.317031583
1935;0.082525351
1950;0.075016398
1965;0.479548159
1980;0.494675407
1995;0.35342233
2010;0.045591217
2025;0.07852021
2040;0.080231257
2055;0.079461748
2070;0.069104194
2085;0.093058515
2100;0.051590304
2115;0.016148539
2130;0.094521195
2145;0.169392099
2160;0.031299409
2175;0.048808276
2190;0.059038004
2205;0.071605724
2220;0.07946588
2235;0.097907063
2250;0.088332172
2265;0.0794054
2280;0.072223163
2295;0.040890042
2310;0.050175052
2325;0.05003275
2340;0.048874814
2355;0.049261065
2370;0.047251179
2385;0.049380204
2400;0.106327255
2415;0.11661322
2430;0.123578386
2445;0.135938983
2460;0.139234506
2475;0.150929645
2490;0.150127039
2505;0.135313135
2520;0.130166403
2535;0.170105766
2550;0.352954859
2565;0.422270084
2580;0.395075465
2595;0.40082776
2610;0.328898725
2625;0.141997241
2640;0.144831032
2655;0.138756494
2670;0.07618951
2685;0.065844045
2700;0.076031966
2715;0.092312468
2730;0.106340505
2745;0.100045723
2760;0.0925421
2775;0.057502396
2790;0.061959349
2805;0.053527774
2820;0.037694964
2835;0.037861473
2850;0.019975993
2865;0.015289446
2880;0.015189463
2895;0.015455666
2910;0.015161209
2925;0.015401237
2940;0.015382098
2955;0.015419797
2970;0.015224839
2985;0.014997183
3000;0.015045317
