Time,sFH_FMU_UFH.mFlow_DHW,sFH_FMU_UFH.TDem_DHW
0,283.15,0
900,283.15,0
1800,283.15,0
2700,283.15,0
3600,283.15,0
4500,283.15,0
5400,283.15,0
6300,283.15,0
7200,283.15,0
8100,283.15,0
9000,283.15,0
9900,283.15,0
10800,283.15,0
11700,283.15,0
12600,283.15,0
13500,283.15,0
14400,283.15,0
15300,283.15,0
16200,283.15,0
17100,283.15,0
18000,283.15,0
18900,283.15,0
19800,283.15,0
20700,283.15,0
21600,283.15,0
22500,283.15,0
23400,283.15,0
24300,283.15,0
25200,328.15,0.056666667
26100,283.15,0
27000,286.15,0.01
27900,283.15,0
28800,286.15,0.01
29700,286.15,0.01
30600,286.15,0.01
31500,286.15,0.01
32400,286.15,0.01
33300,283.15,0
34200,286.15,0.01
35100,283.15,0
36000,283.15,0
36900,283.15,0
37800,285.15,0.003333333
38700,283.15,0
39600,283.15,0
40500,283.15,0
41400,286.15,0.01
42300,286.15,0.01
43200,283.15,0
44100,283.15,0
45000,283.15,0
45900,289.15,0.008888889
46800,283.15,0
47700,283.15,0
48600,283.15,0
49500,283.15,0
50400,283.15,0
51300,283.15,0
52200,286.15,0.01
53100,283.15,0
54000,283.15,0
54900,283.15,0
55800,286.15,0.01
56700,283.15,0
57600,283.15,0
58500,283.15,0
59400,286.15,0.01
60300,283.15,0
61200,283.15,0
62100,283.15,0
63000,283.15,0
63900,283.15,0
64800,292,0.01
65700,285.15,0.003333333
66600,285.15,0.003333333
67500,283.15,0
68400,286.15,0.01
69300,283.15,0
70200,283.15,0
71100,283.15,0
72000,283.15,0
72900,283.15,0
73800,295.15,0.017777779
74700,283.15,0
75600,283.15,0
76500,286.15,0.01
77400,297.15,0.046666667
78300,283.15,0
79200,283.15,0
80100,283.15,0
81000,283.15,0
81900,283.15,0
82800,283.15,0
83700,283.15,0
84600,283.15,0
85500,283.15,0
86400,283.15,0
87300,283.15,0
88200,283.15,0
89100,283.15,0
90000,283.15,0
90900,283.15,0
91800,283.15,0
92700,283.15,0
93600,283.15,0
94500,283.15,0
95400,283.15,0
96300,283.15,0
97200,283.15,0
98100,283.15,0
99000,283.15,0
99900,283.15,0
100800,283.15,0
101700,283.15,0
102600,283.15,0
103500,283.15,0
104400,283.15,0
105300,283.15,0
106200,283.15,0
107100,283.15,0
108000,283.15,0
108900,283.15,0
109800,283.15,0
110700,283.15,0
111600,300.15,0.056666667
112500,283.15,0
113400,286.15,0.01
114300,283.15,0
115200,286.15,0.01
116100,286.15,0.01
117000,286.15,0.01
117900,286.15,0.01
118800,286.15,0.01
119700,283.15,0
120600,286.15,0.01
121500,283.15,0
122400,283.15,0
123300,283.15,0
124200,285.15,0.003333333
125100,283.15,0
126000,283.15,0
126900,283.15,0
127800,286.15,0.01
128700,286.15,0.01
129600,283.15,0
130500,283.15,0
131400,283.15,0
132300,289.15,0.008888889
133200,283.15,0
134100,283.15,0
135000,283.15,0
135900,283.15,0
136800,283.15,0
137700,283.15,0
138600,305,0.01
139500,283.15,0
140400,283.15,0
141300,283.15,0
142200,286.15,0.01
143100,283.15,0
144000,283.15,0
144900,283.15,0
145800,286.15,0.01
146700,283.15,0
147600,283.15,0
148500,283.15,0
149400,283.15,0
150300,283.15,0
151200,286.15,0.01
152100,285.15,0.003333333
153000,285.15,0.003333333
153900,283.15,0
154800,286.15,0.01
155700,283.15,0
156600,283.15,0
157500,283.15,0
158400,283.15,0
159300,283.15,0
160200,295.15,0.017777779
161100,283.15,0
162000,283.15,0
162900,286.15,0.01
163800,328.15,0.046666667
164700,283.15,0
165600,283.15,0
166500,283.15,0
167400,283.15,0
168300,283.15,0
169200,283.15,0
170100,283.15,0
171000,283.15,0
171900,283.15,0
172800,283.15,0
173700,283.15,0
174600,283.15,0
175500,283.15,0
176400,283.15,0
177300,283.15,0
178200,283.15,0
179100,283.15,0
180000,283.15,0
180900,283.15,0
181800,283.15,0
182700,283.15,0
183600,283.15,0
184500,283.15,0
185400,283.15,0
186300,283.15,0
187200,283.15,0
188100,283.15,0
189000,283.15,0
189900,283.15,0
190800,283.15,0
191700,283.15,0
192600,283.15,0
193500,283.15,0
194400,283.15,0
195300,283.15,0
196200,283.15,0
197100,283.15,0
198000,300.15,0.056666667
198900,283.15,0
199800,286.15,0.01
200700,283.15,0
201600,286.15,0.01
202500,286.15,0.01
203400,286.15,0.01
204300,286.15,0.01
205200,286.15,0.01
206100,283.15,0
207000,286.15,0.01
207900,283.15,0
208800,283.15,0
209700,283.15,0
210600,285.15,0.003333333
211500,283.15,0
212400,283.15,0
213300,283.15,0
214200,286.15,0.01
215100,286.15,0.01
216000,283.15,0
216900,283.15,0
217800,283.15,0
218700,328.15,0.008888889
219600,283.15,0
220500,283.15,0
221400,283.15,0
222300,283.15,0
223200,283.15,0
224100,283.15,0
225000,286.15,0.01
225900,283.15,0
226800,283.15,0
227700,283.15,0
228600,286.15,0.01
229500,283.15,0
230400,283.15,0
231300,283.15,0
232200,286.15,0.01
233100,283.15,0
234000,283.15,0
234900,283.15,0
235800,283.15,0
236700,283.15,0
237600,286.15,0.01
238500,285.15,0.003333333
239400,318.15,0.003333333
240300,283.15,0
241200,286.15,0.01
242100,283.15,0
243000,283.15,0
243900,283.15,0
244800,283.15,0
245700,283.15,0
246600,328.15,0.017777779
247500,283.15,0
248400,283.15,0
249300,286.15,0.01
250200,297.15,0.046666667
251100,283.15,0
252000,283.15,0
252900,283.15,0
253800,283.15,0
254700,283.15,0
255600,283.15,0
256500,283.15,0
257400,283.15,0
258300,283.15,0
259200,283.15,0
260100,283.15,0
261000,283.15,0
261900,283.15,0
262800,283.15,0
263700,283.15,0
264600,283.15,0
265500,283.15,0
266400,283.15,0
267300,283.15,0
268200,283.15,0
269100,283.15,0
270000,283.15,0
270900,283.15,0
271800,283.15,0
272700,283.15,0
273600,283.15,0
274500,283.15,0
275400,283.15,0
