Time,panel_Segment2.heatCapacitor.T,panel_Segment1.thermalConductor1.port_a.Q_flow,panel_Segment2.port_a.Q_flow
0,303.15,0,0
900,303.1478,3.477401,-0.16675903
1800,303.14566,367.55603,29.5623
2700,303.14404,1049.1245,85.838264
3600,303.14294,1674.4337,137.7368
4500,303.1423,2184.9995,180.3909
5400,303.1418,2015.2565,166.78894
6300,303.14117,1851.1498,153.5776
7200,303.14044,1701.1298,141.46193
8100,303.13956,1563.6046,130.31625
9000,303.13858,1437.536,120.06002
9900,303.1375,1321.9761,110.619774
10800,303.13635,1216.0485,101.927765
11700,303.13513,1135.7705,95.31451
12600,303.1341,1747.9701,146.1382
13500,303.13358,2316.131,193.5685
14400,303.13333,2328.0105,195.10387
15300,303.133,2138.3645,179.88544
16200,303.13248,1964.347,165.88002
17100,303.13184,1804.9186,153.00862
18000,303.13107,1658.7427,141.16739
18900,303.13022,1524.7339,130.27249
19800,303.12924,1401.8704,120.24481
20700,303.12817,1289.2273,111.01277
21600,303.127,1185.9558,102.5105
22500,303.12585,1449.4962,124.36838
23400,303.12512,2041.5356,173.64458
24300,303.12485,2435.3586,206.75266
25200,303.1246,2242.972,191.3566
26100,303.1242,2059.5796,176.6257
27000,303.1237,1891.9713,163.12482
27900,303.12302,1738.216,150.70074
28800,303.12222,1597.253,139.27133
29700,303.12134,1468.0258,128.75458
30600,303.12036,1349.5488,119.07405
31500,303.1193,1240.9312,110.160645
32400,303.1182,1468.2756,129.0434
33300,303.1175,2058.3706,178.16708
34200,303.11728,2421.9436,208.77162
35100,303.11703,2229.5977,193.36484
36000,303.11667,2047.2279,178.70079
36900,303.11615,1880.5002,165.255
37800,303.1155,1727.5844,152.88307
38700,303.11475,1587.3889,141.5005
39600,303.1139,1458.8582,131.02563
40500,303.11295,1341.0367,121.38445
41400,303.11188,1232.9968,112.50484
42300,303.11075,1133.9742,104.32723
43200,303.10953,1043.2979,96.7995
44100,303.10825,960.10706,89.85484
45000,303.1069,883.8813,83.453
45900,303.1056,1243.0405,113.11495
46800,303.10477,1851.8387,163.68658
47700,303.10434,2040.8757,179.72026
48600,303.10382,1875.7034,166.39813
49500,303.1032,1722.941,154.03348
50400,303.10245,1583.0648,142.67166
51300,303.10162,1454.824,132.2146
52200,303.10068,1337.2529,122.58747
53100,303.09964,1229.4673,113.72166
54000,303.0985,1130.6576,105.55436
54900,303.0973,1040.1427,98.03268
55800,303.09604,957.1382,91.09584
56700,303.09473,1149.6719,106.95405
57600,303.09384,1765.8833,158.09341
58500,303.09344,2270.6719,200.26065
59400,303.09314,2093.9705,186.07297
60300,303.09268,1922.7113,172.2582
61200,303.09213,1766.1528,159.58844
62100,303.09143,1622.6182,147.9312
63000,303.09064,1491.0281,137.2028
63900,303.08975,1370.3922,127.32646
64800,303.08896,1846.1566,166.87138
65700,303.08862,2405.549,213.58182
66600,303.0887,2666.0166,235.75618
67500,303.08875,2451.7292,218.60341
68400,303.0886,2250.6643,202.45256
69300,303.08832,2066.7373,187.63556
70200,303.0879,1898.0925,174.00615
71100,303.08734,1743.4835,161.4678
72000,303.08667,1601.7435,149.93004
72900,303.08594,1640.3501,153.26964
73800,303.08548,2214.2,201.07306
74700,303.08548,2743.5059,245.42365
75600,303.08572,2722.02,244.31793
76500,303.08585,2498.7996,226.42671
77400,303.0858,2293.9932,209.96515
78300,303.08557,2106.3474,194.83777
79200,303.08524,1934.3037,180.92294
80100,303.08475,1776.5825,168.12157
81000,303.08414,1631.9863,156.34073
81900,303.08356,1949.3678,182.80078
82800,303.08337,2499.9138,228.7822
83700,303.08362,2921.455,264.30655
84600,303.08395,2693.1973,246.06581
85500,303.08408,2471.571,228.27325
86400,303.08405,2269.0432,211.96819
